?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분
48,2024-01-04,직영점,A0086,부산구서점(직),8,정상,일반판매,AKK7VT021,J-폴라집업조끼,GR,회색,F,판매
49,2024-01-04,직영점,A0086,부산구서점(직),9,기획,일반판매,AKL7KT003,P-로제폴라니트,IV,아이보리,F,판매
50,2024-01-04,직영점,A0086,부산구서점(직),10,정상,일반판매,AKL3JP011,S-뒷주름퍼JP,BK,블랙,F,판매
51,2024-01-04,직영점,A0086,부산구서점(직),11,정상,일반판매,AKJ7KT003,J-큐빅골지니트,BR,브라운,F,반품
52,2024-01-04,직영점,A0086,부산구서점(직),11,정상,일반판매,AKL7KT017,P3-셀폴라니트,BK,블랙,F,반품
53,2024-01-04,직영점,A0086,부산구서점(직),11,정상,일반판매,AKK7VT021,J-폴라집업조끼,GR,회색,F,반품
54,2024-01-04,직영점,A0086,부산구서점(직),11,정상,일반판매,AKK3PT007,S-기모건빵바지,BK,블랙,M,반품
55,2024-01-04,직영점,A0086,부산구서점(직),12,정상,일반판매,AKJ7KT003,J-큐빅골지니트,BR,브라운,F,판매
56,2024-01-04,직영점,A0086,부산구서점(직),12,정상,일반판매,AKL7KT017,P3-셀폴라니트,BK,블랙,F,판매
57,2024-01-04,직영점,A0086,부산구서점(직),12,정상,일반판매,AKK7VT021,J-폴라집업조끼,GR,회색,F,판매
58,2024-01-04,직영점,A0086,부산구서점(직),12,정상,일반판매,AKK3PT007,S-기모건빵바지,BK,블랙,M,판매
59,2024-01-04,직영점,A0086,부산구서점(직),12,정상,일반판매,AKJ3VT004,C-버튼니트조끼,BR,브라운,F,판매
60,2024-01-04,직영점,A0086,부산구서점(직),13,정상,일반판매,AKL3JP011,S-뒷주름퍼JP,BE,베이지,F,반품
61,2024-01-04,직영점,A0086,부산구서점(직),14,정상,일반판매,AKL7VT001,J-벨트후드덕다운조끼,BR,브라운,F,판매
62,2024-01-04,직영점,A0086,부산구서점(직),15,정상,일반판매,AKL3KT001,S-셀리폴라KT,BK,블랙,F,판매
63,2024-01-04,직영점,A0086,부산구서점(직),16,정상,일반판매,AKJ7JP010,J-네모덕다운점퍼,BE,베이지,F,판매
64,2024-01-04,직영점,A0086,부산구서점(직),16,정상,일반판매,AKL3PT006,C-올리기모와이드슬랙스,BE,베이지,F,판매
65,2024-01-04,직영점,A0086,부산구서점(직),16,정상,일반판매,AKL7KT020,P3-크로스폴라니트,BE,베이지,F,판매
66,2024-01-04,직영점,A0086,부산구서점(직),17,정상,일반판매,AKL3PT006,C-올리기모와이드슬랙스,BE,베이지,L,판매
67,2024-01-04,직영점,A0086,부산구서점(직),18,기획,일반판매,AKK7JP019,P-샤인후드덕다운,BK,블랙,F,판매
68,2024-01-04,직영점,A0086,부산구서점(직),19,정상,일반판매,AKL3PT006,C-올리기모와이드슬랙스,BK,블랙,L,반품
69,2024-01-05,직영점,A0086,부산구서점(직),1,정상,일반판매,AKK3PT005,C-스타기모통(23),OT,오트밀,M,판매
70,2024-01-05,직영점,A0086,부산구서점(직),2,정상,일반판매,AKL7KT005,J-젤리반폴니트,BE,베이지,F,판매
71,2024-01-05,직영점,A0086,부산구서점(직),2,정상,일반판매,AKK3PT015,C-윈디울부츠컷,CH,챠콜,L,판매
72,2024-01-05,직영점,A0086,부산구서점(직),2,정상,일반판매,BKI7BG009,리치투웨이백,BK,블랙,F,판매
73,2024-01-05,직영점,A0086,부산구서점(직),3,정상,일반판매,AKL3JP011,S-뒷주름퍼JP,BK,블랙,F,판매
74,2024-01-05,직영점,A0086,부산구서점(직),4,정상,일반판매,AKL3JP011,S-뒷주름퍼JP,BK,블랙,F,반품
75,2024-01-05,직영점,A0086,부산구서점(직),5,정상,20% 할인(직원할인),AKL3DP004,C-브로디롱큐롯데님(기모),ML,중청,S,판매
76,2024-01-05,직영점,A0086,부산구서점(직),5,정상,20% 할인(직원할인),AKL3JP011,S-뒷주름퍼JP,BE,베이지,F,판매
77,2024-01-05,직영점,A0086,부산구서점(직),6,정상,20% 할인(직원할인),AKK3PT005,C-스타기모통(23),OT,오트밀,M,판매
78,2024-01-05,직영점,A0086,부산구서점(직),7,정상,20% 할인(직원할인),AKL3PT006,C-올리기모와이드슬랙스,BK,블랙,L,판매
79,2024-01-06,직영점,A0086,부산구서점(직),1,정상,일반판매,BKK7BG004,J-A비즈백팩,BK,블랙,F,판매
80,2024-01-06,직영점,A0086,부산구서점(직),2,기획,일반판매,AKK7TS002,P-폴라기모T,BK,블랙,F,판매
81,2024-01-06,직영점,A0086,부산구서점(직),2,기획,일반판매,AKK7TS002,P-폴라기모T,BG,청록색,F,판매
82,2024-01-06,직영점,A0086,부산구서점(직),2,정상,일반판매,AJL3PT003,C-빅포켓배기팬츠,BK,블랙,M,판매
83,2024-01-06,직영점,A0086,부산구서점(직),3,정상,일반판매,AHI7OP005,브이니트OP,BE,베이지,F,판매
84,2024-01-06,직영점,A0086,부산구서점(직),4,정상,일반판매,AKL3JP011,S-뒷주름퍼JP,BE,베이지,F,판매
85,2024-01-06,직영점,A0086,부산구서점(직),4,기획,일반판매,AKJ7TS001,J-베이직폴라T,DB,다크베이지,F,판매
86,2024-01-07,직영점,A0086,부산구서점(직),1,정상,일반판매,AKI7JP014,J-니쥬니트집업,BK,블랙,F,판매
87,2024-01-07,직영점,A0086,부산구서점(직),2,정상,일반판매,AKL3JP011,S-뒷주름퍼JP,BK,블랙,F,판매
88,2024-01-07,직영점,A0086,부산구서점(직),3,정상,일반판매,AKL7KT019,P3-사선반폴니트,BK,블랙,F,판매
