?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분
48,2024-01-03,직영점,A0024,부산두실점(직),13,정상,일반판매,ZA00CO002,아메리카노(음료),XX,XX,XX,판매
49,2024-01-04,직영점,A0024,부산두실점(직),1,정상,일반판매,ZA00CO002,아메리카노(음료),XX,XX,XX,판매
50,2024-01-04,직영점,A0024,부산두실점(직),2,정상,일반판매,AKL7PT004,J-다이아누비팬츠,BK,블랙,F,판매
51,2024-01-04,직영점,A0024,부산두실점(직),3,정상,일반판매,AKK7JP003,J-파스텔단추덕다운,PK,핑크,F,판매
52,2024-01-04,직영점,A0024,부산두실점(직),4,정상,일반판매,AKL7DP006,P3-기모일자통데님,DL,진청,L,판매
53,2024-01-04,직영점,A0024,부산두실점(직),5,정상,일반판매,ZA00CO002,아메리카노(음료),XX,XX,XX,판매
54,2024-01-04,직영점,A0024,부산두실점(직),5,정상,일반판매,ZA00CO003,카페라떼(음료),XX,XX,XX,판매
55,2024-01-04,직영점,A0024,부산두실점(직),6,정상,일반판매,AKL7DP006,P3-기모일자통데님,DL,진청,L,판매
56,2024-01-04,직영점,A0024,부산두실점(직),6,정상,일반판매,AIC7KT006,펀칭꽃니트,BL,블루,F,판매
57,2024-01-04,직영점,A0024,부산두실점(직),7,정상,일반판매,AKL7JP005,P-폭스사파리덕다운,BK,블랙,F,판매
58,2024-01-04,직영점,A0024,부산두실점(직),8,정상,일반판매,AKL7KT017,P3-셀폴라니트,GR,회색,F,판매
59,2024-01-04,직영점,A0024,부산두실점(직),9,기획,일반판매,AKK7TS002,P-폴라기모T,MO,모카,F,판매
60,2024-01-04,직영점,A0024,부산두실점(직),9,기획,일반판매,AKK7TS002,P-폴라기모T,BK,블랙,F,판매
61,2024-01-04,직영점,A0024,부산두실점(직),10,정상,일반판매,AJL3JP020,S-지크구스롱JP,KH,카키,F,판매
62,2024-01-04,직영점,A0024,부산두실점(직),11,정상,일반판매,AKI7KT025,J-라인브이가디건,OR,오렌지,F,판매
63,2024-01-04,직영점,A0024,부산두실점(직),12,정상,일반판매,AHK7KT010,라인KT,RE,레드,F,판매
64,2024-01-04,직영점,A0024,부산두실점(직),12,기획,일반판매,AKL7KT001,P-모드폴라니트,KH,카키,F,판매
65,2024-01-04,직영점,A0024,부산두실점(직),13,정상,일반판매,AHK7KT010,라인KT,RE,레드,F,반품
66,2024-01-04,직영점,A0024,부산두실점(직),13,기획,일반판매,AKL7KT001,P-모드폴라니트,KH,카키,F,반품
67,2024-01-04,직영점,A0024,부산두실점(직),14,정상,일반판매,AJL7KT016,하플KT,PK,핑크,F,판매
68,2024-01-04,직영점,A0024,부산두실점(직),15,기획,일반판매,AKL7KT002,P-윈터폴라니트,BK,블랙,F,판매
69,2024-01-04,직영점,A0024,부산두실점(직),16,정상,일반판매,AKK3PT014,C-체크기모부츠컷,GR,회색,L,판매
70,2024-01-05,직영점,A0024,부산두실점(직),1,정상,일반판매,ZA00CO002,아메리카노(음료),XX,XX,XX,판매
71,2024-01-05,직영점,A0024,부산두실점(직),2,정상,일반판매,ZA00CO046,레몬생강차(음료),XX,XX,XX,판매
72,2024-01-05,직영점,A0024,부산두실점(직),3,정상,일반판매,ZA00CO002,아메리카노(음료),XX,XX,XX,판매
73,2024-01-05,직영점,A0024,부산두실점(직),4,정상,일반판매,AKL7KT005,J-젤리반폴니트,BK,블랙,F,판매
74,2024-01-05,직영점,A0024,부산두실점(직),4,정상,일반판매,AKL7KT017,P3-셀폴라니트,BK,블랙,F,판매
75,2024-01-05,직영점,A0024,부산두실점(직),5,정상,일반판매,AKK3PT013,C-시보리골덴배기(기모),BE,베이지,L,판매
76,2024-01-05,직영점,A0024,부산두실점(직),5,정상,일반판매,BKL4CP016,뜨뜨귀꽈배기햇,LB,연한베이지,F,판매
77,2024-01-05,직영점,A0024,부산두실점(직),6,정상,일반판매,AJI7SK004,플레어니트스커트,BK,블랙,F,판매
