?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분
48,2024-01-09,직영점,A0025,부산연지점(직),2,정상,일반판매,AKL3KT004,S-분홍꽃KT,BK,블랙,F,판매
49,2024-01-11,직영점,A0025,부산연지점(직),1,정상,일반판매,BKL7MF004,와플니트고리,YE,옐로우,F,판매
50,2024-01-11,직영점,A0025,부산연지점(직),2,정상,일반판매,BGL3MF035,골지호피,MU,머스타드,F,판매
51,2024-01-11,직영점,A0025,부산연지점(직),3,정상,20% 할인(직원할인),AKK7JP027,J-버클스트링점퍼,GR,회색,F,판매
52,2024-01-11,직영점,A0025,부산연지점(직),3,정상,20% 할인(직원할인),AKL7PT004,J-다이아누비팬츠,BE,베이지,F,판매
53,2024-01-11,직영점,A0025,부산연지점(직),4,기획,일반판매,AKL7KT003,P-로제폴라니트,BK,블랙,F,판매
54,2024-01-11,직영점,A0025,부산연지점(직),5,정상,일반판매,AEK1BL401,기모 데님 워싱 셔츠,BK,블랙,L,판매
55,2024-01-12,직영점,A0025,부산연지점(직),1,정상,일반판매,AKL7KT012,J-페어리니트,BE,베이지,F,판매
56,2024-01-12,직영점,A0025,부산연지점(직),1,정상,일반판매,AKK7KT014,J-스케치래빗니트,PK,핑크,F,판매
57,2024-01-12,직영점,A0025,부산연지점(직),2,정상,일반판매,AKK7KT017,J-루이폴라니트,PP,퍼플,F,판매
58,2024-01-12,직영점,A0025,부산연지점(직),3,정상,일반판매,AHC3CT016,Q-엔클라인버버리,PK,핑크,L,판매
59,2024-01-12,직영점,A0025,부산연지점(직),3,정상,일반판매,AKK3PT002,C-더치골덴통바지(기모),CH,챠콜,M,판매
60,2024-01-12,직영점,A0025,부산연지점(직),3,정상,일반판매,AKL7KT007,J-삼색단니트,BE,베이지,F,판매
61,2024-01-12,직영점,A0025,부산연지점(직),4,정상,일반판매,AKL7JP017,P3-세모끈덕다운,BR,브라운,F,판매
62,2024-01-12,직영점,A0025,부산연지점(직),5,정상,일반판매,AIL7KT013,곰보이니트,NA,네이비,F,판매
63,2024-01-12,직영점,A0025,부산연지점(직),5,정상,일반판매,BKL7MF003,스퀘어니트고리,BK,블랙,F,판매
64,2024-01-12,직영점,A0025,부산연지점(직),5,정상,일반판매,AJQ4VT001,양모집업조끼,BK,블랙,L,판매
65,2024-01-12,직영점,A0025,부산연지점(직),5,정상,일반판매,AHK7KT005,호피나염KT,GR,회색,F,판매
66,2024-01-12,직영점,A0025,부산연지점(직),6,정상,일반판매,AKL7JP003,P-니트카라덕다운,BE,베이지,F,판매
67,2024-01-12,직영점,A0025,부산연지점(직),7,정상,일반판매,AEI2VT601,몽마르뜨 니트 원피스,BR,브라운,M,판매
68,2024-01-12,직영점,A0025,부산연지점(직),8,정상,일반판매,AKJ3TS008,S-모니카맨투맨,OT,오트밀,F,판매
69,2024-01-12,직영점,A0025,부산연지점(직),8,정상,일반판매,AKK3TS016,C-베러맨투맨T,IV,아이보리,F,판매
70,2024-01-12,직영점,A0025,부산연지점(직),8,정상,일반판매,AKB3TS001,C-스프링레터맨투맨,GE,그린,F,판매
71,2024-01-12,직영점,A0025,부산연지점(직),9,정상,일반판매,BJL4MF014,그리미밍크,GE,그린,F,판매
72,2024-01-13,직영점,A0025,부산연지점(직),1,정상,일반판매,AEK1PT601,플리츠 캐주얼 바지,BK,블랙,L,판매
73,2024-01-13,직영점,A0025,부산연지점(직),1,정상,일반판매,AJL7OP001,소매롱니트OPS,GR,회색,F,판매
74,2024-01-13,직영점,A0025,부산연지점(직),1,정상,일반판매,AEK1KN706,라운드 H롱 니트,BE,베이지,F,판매
75,2024-01-13,직영점,A0025,부산연지점(직),1,정상,일반판매,AEK1TS501,언발란스 슬림 짚업티셔츠,BK,블랙,XL,판매
76,2024-01-13,직영점,A0025,부산연지점(직),2,정상,일반판매,BKK4MF004,울D미니고리,IV,아이보리,F,판매
77,2024-01-13,직영점,A0025,부산연지점(직),2,정상,일반판매,AKJ7KT003,J-큐빅골지니트,IV,아이보리,F,판매
78,2024-01-13,직영점,A0025,부산연지점(직),2,정상,일반판매,KFZ3AK001,K블랙리버시블,BK,블랙,F,판매
79,2024-01-13,직영점,A0025,부산연지점(직),3,정상,일반판매,BII4MF007,로마머플러,NA,네이비,F,판매
80,2024-01-13,직영점,A0025,부산연지점(직),3,정상,일반판매,AKL7JP019,P4-포켓장식덕다운,LG,연한그레이,F,판매
