?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분
48,2024-01-10,직영점,A0020,부산모라점(직),2,정상,일반판매,AKK7JP003,J-파스텔단추덕다운,PK,핑크,F,판매
49,2024-01-10,직영점,A0020,부산모라점(직),2,정상,일반판매,BJK4SC006,플라워롱삭스(2pcs),XX,XX,F,판매
50,2024-01-10,직영점,A0020,부산모라점(직),3,정상,일반판매,AEK1TS703,라인 롱 티셔츠,GR,회색,F,판매
51,2024-01-10,직영점,A0020,부산모라점(직),3,정상,일반판매,AII3OP005,S-유니콘롱티,KH,카키,F,판매
52,2024-01-10,직영점,A0020,부산모라점(직),4,정상,일반판매,AKL7KT021,P3-미드폴라니트,BR,브라운,F,판매
53,2024-01-11,직영점,A0020,부산모라점(직),1,정상,일반판매,AKL7DP006,P3-기모일자통데님,DL,진청,M,판매
54,2024-01-11,직영점,A0020,부산모라점(직),1,정상,일반판매,AKL7KT018,P3-라운드M니트,GR,회색,F,판매
55,2024-01-11,직영점,A0020,부산모라점(직),1,정상,일반판매,AKL7KT011,J-에어벌룬니트,BE,베이지,F,판매
56,2024-01-11,직영점,A0020,부산모라점(직),2,정상,일반판매,AKJ3PT003,C-더치골덴통바지,IV,아이보리,L,판매
57,2024-01-11,직영점,A0020,부산모라점(직),3,정상,일반판매,AKL7KT005,J-젤리반폴니트,BK,블랙,F,판매
58,2024-01-11,직영점,A0020,부산모라점(직),4,기획,일반판매,AKK7JP016,P-토니덕다운점퍼,KH,카키,F,판매
59,2024-01-11,직영점,A0020,부산모라점(직),5,정상,일반판매,AEJ1OP501,리옹 후드 슬리브리스 코튼원피스,KH,카키,L,판매
60,2024-01-11,직영점,A0020,부산모라점(직),6,정상,일반판매,AIK3PT023,Q-조잉기모,BK,블랙,L,판매
61,2024-01-11,직영점,A0020,부산모라점(직),6,정상,일반판매,AIA3SK001,Q-골덴A스커트,IV,아이보리,F,판매
62,2024-01-11,직영점,A0020,부산모라점(직),6,정상,일반판매,KKK7AC006,KP-샤인후드덕다운,BE,베이지,F,판매
63,2024-01-11,직영점,A0020,부산모라점(직),6,정상,일반판매,KIL3AK001,KS-올패딩PT,BK,블랙,M,판매
64,2024-01-11,직영점,A0020,부산모라점(직),7,정상,일반판매,KIL3AK001,KS-올패딩PT,BK,블랙,M,판매
65,2024-01-11,직영점,A0020,부산모라점(직),7,정상,일반판매,KIL3AK001,KS-올패딩PT,BK,블랙,L,판매
66,2024-01-11,직영점,A0020,부산모라점(직),8,기획,일반판매,AKL7PT002,P-버클부츠컷슬랙스,BK,블랙,M,판매
67,2024-01-11,직영점,A0020,부산모라점(직),9,정상,일반판매,AJI7SK001,로엔니트스커트,BE,베이지,F,판매
68,2024-01-12,직영점,A0020,부산모라점(직),1,정상,일반판매,AKL7KT016,J-글리배색반폴니트,BE,베이지,F,판매
69,2024-01-12,직영점,A0020,부산모라점(직),2,정상,일반판매,AJL3PT001,C-기모코튼부츠컷,BK,블랙,L,판매
70,2024-01-12,직영점,A0020,부산모라점(직),3,정상,일반판매,AKL7JP013,P4-배색라인덕다운,BE,베이지,F,판매
71,2024-01-12,직영점,A0020,부산모라점(직),4,정상,일반판매,AKL7KT020,P3-크로스폴라니트,BE,베이지,F,판매
72,2024-01-12,직영점,A0020,부산모라점(직),5,정상,일반판매,AIK3PT002,S-리버PT,BE,베이지,F,판매
73,2024-01-12,직영점,A0020,부산모라점(직),5,정상,일반판매,AIK3PT015,Q-다솜배기,CG,차콜그레이,L,판매
74,2024-01-12,직영점,A0020,부산모라점(직),6,정상,일반판매,AKK7VT021,J-폴라집업조끼,GR,회색,F,판매
75,2024-01-12,직영점,A0020,부산모라점(직),6,정상,일반판매,AKL7JP017,P3-세모끈덕다운,BR,브라운,F,판매
76,2024-01-12,직영점,A0020,부산모라점(직),7,기획,일반판매,AKK7JP016,P-토니덕다운점퍼,KH,카키,F,반품
77,2024-01-12,직영점,A0020,부산모라점(직),8,정상,일반판매,AKJ7JP009,J-올리드덕다운점퍼,LY,연한노랑,F,판매
78,2024-01-12,직영점,A0020,부산모라점(직),9,정상,일반판매,AKL7JP018,P3-오렌지덕다운패딩,OR,오렌지,F,판매
79,2024-01-12,직영점,A0020,부산모라점(직),9,정상,일반판매,AKL7KT008,J-스트라이프니트,BE,베이지,F,판매
80,2024-01-12,직영점,A0020,부산모라점(직),9,기획,일반판매,AKL7PT001,P-미우밴딩팬츠,BR,브라운,L,판매
81,2024-01-12,직영점,A0020,부산모라점(직),9,정상,일반판매,AJA3PT003,S-핀탁이지PT,CG,차콜그레이,L,판매
82,2024-01-12,직영점,A0020,부산모라점(직),9,정상,일반판매,AKJ7KT001,J-심플라운드니트,IV,아이보리,F,판매
83,2024-01-12,직영점,A0020,부산모라점(직),10,정상,일반판매,AKK7KT017,J-루이폴라니트,PP,퍼플,F,판매
84,2024-01-12,직영점,A0020,부산모라점(직),11,정상,일반판매,AKA3KT004,S-드림베어KT,OL,올리브,F,판매
85,2024-01-12,직영점,A0020,부산모라점(직),12,정상,일반판매,AKL7JP012,P3-무스탕덕다운패딩,BE,베이지,F,판매
86,2024-01-13,직영점,A0020,부산모라점(직),1,정상,일반판매,AKI7JP007,J-도트니트자켓,BK,블랙,F,판매
87,2024-01-13,직영점,A0020,부산모라점(직),2,기획,일반판매,AKL7KT001,P-모드폴라니트,KH,카키,F,판매
88,2024-01-13,직영점,A0020,부산모라점(직),2,정상,일반판매,AJL7KT009,컬러단반폴KT,RE,레드,F,판매
89,2024-01-13,직영점,A0020,부산모라점(직),2,정상,일반판매,AKK7VT018,J-우아니트조끼,BK,블랙,F,판매
90,2024-01-13,직영점,A0020,부산모라점(직),3,기획,일반판매,AKL7PT002,P-버클부츠컷슬랙스,BK,블랙,L,판매
91,2024-01-13,직영점,A0020,부산모라점(직),4,정상,일반판매,AKL3KT004,S-분홍꽃KT,GR,회색,F,판매
92,2024-01-13,직영점,A0020,부산모라점(직),5,기획,일반판매,AKL7PT002,P-버클부츠컷슬랙스,BK,블랙,XL,판매
93,2024-01-13,직영점,A0020,부산모라점(직),6,기획,일반판매,AKL7KT001,P-모드폴라니트,KH,카키,F,판매
94,2024-01-13,직영점,A0020,부산모라점(직),7,기획,일반판매,AKL7KT002,P-윈터폴라니트,GE,그린,F,판매
95,2024-01-13,직영점,A0020,부산모라점(직),7,기획,일반판매,AKL7KT003,P-로제폴라니트,BK,블랙,F,판매
96,2024-01-15,직영점,A0020,부산모라점(직),1,정상,일반판매,AKL7KT018,P3-라운드M니트,GR,회색,F,판매
97,2024-01-15,직영점,A0020,부산모라점(직),2,정상,일반판매,AKK7VT019,J-멜로우니트조끼,GE,그린,F,판매
98,2024-01-15,직영점,A0020,부산모라점(직),3,정상,일반판매,AKL7KT011,J-에어벌룬니트,BE,베이지,F,판매
99,2024-01-15,직영점,A0020,부산모라점(직),4,기획,일반판매,AKK7JP024,P-비조폭스구스다운,BG,청록색,F,판매
100,2024-01-15,직영점,A0020,부산모라점(직),5,정상,일반판매,AHK7BL005,윈터레이스BL,BR,브라운,F,판매
101,2024-01-15,직영점,A0020,부산모라점(직),5,정상,일반판매,AEI1SK301,테레 캉캉스커트,VG,버건디,L,판매
102,2024-01-15,직영점,A0020,부산모라점(직),5,정상,일반판매,AEI1SK301,테레 캉캉스커트,BL,블루,M,판매
103,2024-01-15,직영점,A0020,부산모라점(직),5,정상,일반판매,AEH2TS501,아르웬 페미닌 티셔츠,NA,네이비,M,판매
104,2024-01-15,직영점,A0020,부산모라점(직),5,정상,일반판매,AEH2TS501,아르웬 페미닌 티셔츠,WN,와인,M,판매
105,2024-01-15,직영점,A0020,부산모라점(직),6,기획,일반판매,AKL7KT002,P-윈터폴라니트,GE,그린,F,판매
106,2024-01-15,직영점,A0020,부산모라점(직),6,정상,일반판매,AKK7KT017,J-루이폴라니트,BE,베이지,F,판매
107,2024-01-15,직영점,A0020,부산모라점(직),7,정상,일반판매,BJK3MF002,폴라어깨숄,BK,블랙,F,판매
108,2024-01-15,직영점,A0020,부산모라점(직),7,정상,일반판매,AJI7SK001,로엔니트스커트,BE,베이지,F,판매
109,2024-01-16,직영점,A0020,부산모라점(직),1,정상,일반판매,AKL7KT017,P3-셀폴라니트,BK,블랙,F,판매
110,2024-01-16,직영점,A0020,부산모라점(직),2,정상,일반판매,AKL7DP006,P3-기모일자통데님,DL,진청,S,판매
111,2024-01-16,직영점,A0020,부산모라점(직),2,기획,일반판매,AKL7PT002,P-버클부츠컷슬랙스,BK,블랙,S,판매
112,2024-01-16,직영점,A0020,부산모라점(직),3,정상,일반판매,AKL7KT007,J-삼색단니트,BE,베이지,F,판매
113,2024-01-16,직영점,A0020,부산모라점(직),4,정상,일반판매,AKK3PT002,C-더치골덴통바지(기모),CH,챠콜,L,판매
114,2024-01-17,직영점,A0020,부산모라점(직),1,정상,일반판매,AJL7KT002,포인반목니트,BE,베이지,F,판매
115,2024-01-17,직영점,A0020,부산모라점(직),1,정상,일반판매,AKK7KT023,J-레인보우니트조끼,GR,회색,F,판매
116,2024-01-17,직영점,A0020,부산모라점(직),1,기획,일반판매,AKK7TS002,P-폴라기모T,BK,블랙,F,판매
117,2024-01-17,직영점,A0020,부산모라점(직),2,기획,일반판매,AKK7JP012,P-벨티드덕다운패딩,KH,카키,L,판매
118,2024-01-17,직영점,A0020,부산모라점(직),2,정상,일반판매,AJL3PT034,S-융기모부츠컷,BR,브라운,M,판매
119,2024-01-17,직영점,A0020,부산모라점(직),2,정상,일반판매,AKK3KT003,S-어깨버튼니트,CR,크림,F,판매
120,2024-01-17,직영점,A0020,부산모라점(직),3,기획,일반판매,AKL7KT003,P-로제폴라니트,IV,아이보리,F,판매
121,2024-01-17,직영점,A0020,부산모라점(직),4,정상,일반판매,AIL3DP004,S-B831기모B,DL,진청,M,판매
