?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분
49,2024-01-05,직영점,A0006,부산하단점,1,정상,일반판매,AKL7KT018,P3-라운드M니트,GR,회색,F,판매
50,2024-01-05,직영점,A0006,부산하단점,2,정상,일반판매,BKL7MF001,모닝퍼머플러,GR,회색,F,판매
51,2024-01-05,직영점,A0006,부산하단점,3,기획,일반판매,AKL7KT002,P-윈터폴라니트,GE,그린,F,판매
52,2024-01-05,직영점,A0006,부산하단점,4,정상,일반판매,BKL4CP005,라쿤돌돌베레,DB,다크베이지,F,판매
53,2024-01-05,직영점,A0006,부산하단점,5,정상,일반판매,BKJ3CP005,양털리본보넷,CM,카멜,F,판매
54,2024-01-05,직영점,A0006,부산하단점,5,기획,일반판매,AKJ7TS001,J-베이직폴라T,GE,그린,F,판매
55,2024-01-05,직영점,A0006,부산하단점,6,정상,일반판매,AKK3PT002,C-더치골덴통바지(기모),CH,챠콜,M,판매
56,2024-01-05,직영점,A0006,부산하단점,7,정상,일반판매,AKK3PT006,S-시보리기모배기팬츠,BK,블랙,L,판매
57,2024-01-05,직영점,A0006,부산하단점,8,정상,일반판매,AKL7JP011,P3-노멀덕다운롱패딩,BR,브라운,F,판매
58,2024-01-05,직영점,A0006,부산하단점,9,정상,일반판매,AKL7JP011,P3-노멀덕다운롱패딩,BR,브라운,F,반품
59,2024-01-06,직영점,A0006,부산하단점,1,정상,일반판매,AKI7VT012,J-엠보퍼조끼,BK,블랙,F,판매
60,2024-01-06,직영점,A0006,부산하단점,2,정상,일반판매,AIJ3DP004,S-청나팔팬츠,DL,진청,M,판매
61,2024-01-06,직영점,A0006,부산하단점,2,정상,일반판매,AKJ3JP003,C-보니프릴점퍼,BE,베이지,F,판매
62,2024-01-06,직영점,A0006,부산하단점,2,정상,일반판매,AKL3DP002,S-샌디와이드기모데님,DL,진청,M,판매
63,2024-01-06,직영점,A0006,부산하단점,3,정상,일반판매,AKK3PT003,C-기모포켓골덴통팬츠,GE,그린,F,판매
64,2024-01-06,직영점,A0006,부산하단점,3,기획,일반판매,AKK7TS002,P-폴라기모T,BG,청록색,F,판매
65,2024-01-06,직영점,A0006,부산하단점,3,정상,일반판매,AKL7JP012,P3-무스탕덕다운패딩,BK,블랙,F,판매
66,2024-01-06,직영점,A0006,부산하단점,4,정상,일반판매,BKI4SC003,데일리삭스(3pcs),XX,XX,F,판매
67,2024-01-07,직영점,A0006,부산하단점,1,정상,일반판매,BKL7MF007,하운드니트고리,BK,블랙,F,판매
68,2024-01-07,직영점,A0006,부산하단점,2,정상,일반판매,BKL7MF003,스퀘어니트고리,BK,블랙,F,판매
69,2024-01-07,직영점,A0006,부산하단점,3,정상,일반판매,AKK7JP003,J-파스텔단추덕다운,PP,퍼플,F,판매
70,2024-01-07,직영점,A0006,부산하단점,4,정상,일반판매,AKK7JP003,J-파스텔단추덕다운,PP,퍼플,F,판매
71,2024-01-07,직영점,A0006,부산하단점,5,정상,일반판매,AKK7JP003,J-파스텔단추덕다운,PP,퍼플,F,반품
72,2024-01-07,직영점,A0006,부산하단점,6,정상,일반판매,AKL3DP002,S-샌디와이드기모데님,DL,진청,L,판매
73,2024-01-07,직영점,A0006,부산하단점,6,정상,일반판매,BKL3CP001,패딩자수버킷햇,IV,아이보리,F,판매
74,2024-01-07,직영점,A0006,부산하단점,7,기획,일반판매,AKK7JP012,P-벨티드덕다운패딩,KH,카키,L,판매
75,2024-01-08,직영점,A0006,부산하단점,1,정상,일반판매,AKK3KT002,C-살롱반폴니트,LB,연한베이지,F,판매
76,2024-01-08,직영점,A0006,부산하단점,2,정상,일반판매,AKJ3KT004,C-모아니반폴니트,BR,브라운,F,판매
77,2024-01-08,직영점,A0006,부산하단점,2,정상,일반판매,AKK3KT002,C-살롱반폴니트,CR,크림,F,판매
78,2024-01-08,직영점,A0006,부산하단점,2,정상,일반판매,BKD4SC003,퓨어진주덧신,BK,블랙,F,판매
79,2024-01-08,직영점,A0006,부산하단점,3,정상,일반판매,AKI7CA002,J-스타홀스가디건,IV,아이보리,F,판매
80,2024-01-08,직영점,A0006,부산하단점,4,정상,일반판매,AKK7KT015,J-해피반폴니트,BK,블랙,F,판매
81,2024-01-08,직영점,A0006,부산하단점,5,기획,일반판매,AKK7JP019,P-샤인후드덕다운,BK,블랙,F,판매
82,2024-01-09,직영점,A0006,부산하단점,1,정상,일반판매,AKK3JP005,S-엠보패딩점퍼,BG,청록색,F,판매
83,2024-01-09,직영점,A0006,부산하단점,1,정상,일반판매,AKK3JP005,S-엠보패딩점퍼,BK,블랙,F,판매
84,2024-01-09,직영점,A0006,부산하단점,2,정상,일반판매,AKL7KT020,P3-크로스폴라니트,GR,회색,F,판매
85,2024-01-09,직영점,A0006,부산하단점,3,정상,일반판매,AKK3PT002,C-더치골덴통바지(기모),CH,챠콜,L,판매
86,2024-01-09,직영점,A0006,부산하단점,4,정상,일반판매,AKK3PT002,C-더치골덴통바지(기모),CH,챠콜,L,판매
87,2024-01-09,직영점,A0006,부산하단점,5,정상,일반판매,AKK7KT012,J-무지폴라니트,MO,모카,F,판매
88,2024-01-09,직영점,A0006,부산하단점,6,정상,일반판매,BKL4MF008,에뜨울양면삼각,PP,퍼플,F,판매
89,2024-01-09,직영점,A0006,부산하단점,6,정상,일반판매,AKL3JK003,S-페이크퍼망토JK,GE,그린,F,판매
90,2024-01-09,직영점,A0006,부산하단점,7,정상,일반판매,AKL3JP011,S-뒷주름퍼JP,BK,블랙,F,판매
91,2024-01-09,직영점,A0006,부산하단점,7,정상,일반판매,AKI7JK015,J-호피카라니트자켓,CG,차콜그레이,F,판매
92,2024-01-09,직영점,A0006,부산하단점,8,정상,일반판매,AKK7KT014,J-스케치래빗니트,PK,핑크,F,판매
93,2024-01-09,직영점,A0006,부산하단점,8,정상,일반판매,AKL7JP013,P4-배색라인덕다운,PP,퍼플,F,판매
94,2024-01-09,직영점,A0006,부산하단점,8,정상,일반판매,AKK7VT001,J-후드덕다운조끼,BE,베이지,F,판매
95,2024-01-09,직영점,A0006,부산하단점,8,정상,일반판매,AKJ3KT004,C-모아니반폴니트,IV,아이보리,F,판매
96,2024-01-10,직영점,A0006,부산하단점,1,정상,일반판매,AKK3PT002,C-더치골덴통바지(기모),CH,챠콜,M,판매
97,2024-01-10,직영점,A0006,부산하단점,2,기획,일반판매,AKK7JP019,P-샤인후드덕다운,BE,베이지,F,판매
98,2024-01-10,직영점,A0006,부산하단점,3,정상,일반판매,AKK7KT016,J-빈티지폴라니트,NA,네이비,F,판매
99,2024-01-10,직영점,A0006,부산하단점,3,정상,일반판매,AKK3DP007,C-헤비와이드기모부츠컷데님,DL,진청,S,판매
100,2024-01-10,직영점,A0006,부산하단점,4,정상,일반판매,AEK1OP601,포켓 롱 원피스,GR,회색,M,판매
101,2024-01-10,직영점,A0006,부산하단점,5,정상,일반판매,AKK3PT007,S-기모건빵바지,BK,블랙,XL,판매
102,2024-01-10,직영점,A0006,부산하단점,6,정상,일반판매,AKL7KT014,J-캣골지폴라니트,BE,베이지,F,판매
103,2024-01-10,직영점,A0006,부산하단점,7,정상,일반판매,AKL3JK003,S-페이크퍼망토JK,GE,그린,F,판매
104,2024-01-10,직영점,A0006,부산하단점,8,정상,일반판매,AKK3DP005,C-기모와이드블랙진,BK,블랙,L,판매
105,2024-01-10,직영점,A0006,부산하단점,8,정상,일반판매,AKK7KT015,J-해피반폴니트,BK,블랙,F,판매
106,2024-01-10,직영점,A0006,부산하단점,8,정상,일반판매,AKK7JP020,J-밍크라인덕다운,BK,블랙,F,판매
107,2024-01-11,직영점,A0006,부산하단점,1,정상,일반판매,ZA00CO031,카페라떼(3000),XX,XX,XX,판매
108,2024-01-11,직영점,A0006,부산하단점,2,정상,일반판매,AKL7KT019,P3-사선반폴니트,BK,블랙,F,판매
109,2024-01-11,직영점,A0006,부산하단점,3,정상,일반판매,AIL7KT004,큰골단추니트,OR,오렌지,F,판매
110,2024-01-11,직영점,A0006,부산하단점,4,기획,일반판매,AKL7KT003,P-로제폴라니트,BR,브라운,F,판매
111,2024-01-11,직영점,A0006,부산하단점,5,정상,일반판매,AKI3VT001,C-트렌치롱베스트,BK,블랙,F,판매
112,2024-01-11,직영점,A0006,부산하단점,6,기획,일반판매,AKK7VT003,J-하이넥덕다운조끼,BR,브라운,F,판매
113,2024-01-11,직영점,A0006,부산하단점,7,정상,일반판매,AKL7TS002,J-세븐맨투맨,BK,블랙,F,판매
114,2024-01-11,직영점,A0006,부산하단점,8,정상,일반판매,AJL7KT022,도톰호피KT,BL,블루,F,판매
115,2024-01-11,직영점,A0006,부산하단점,8,정상,일반판매,AEI2PT301,아게다 니트 팬츠,BK,블랙,M,판매
116,2024-01-11,직영점,A0006,부산하단점,9,기획,일반판매,AKL7KT003,P-로제폴라니트,BR,브라운,F,판매
117,2024-01-12,직영점,A0006,부산하단점,1,정상,일반판매,AKK7KT011,J-밑절개폴라니트,BE,베이지,F,판매
118,2024-01-12,직영점,A0006,부산하단점,1,정상,일반판매,BJJ4CP004,라인버킷,BK,블랙,F,판매
119,2024-01-12,직영점,A0006,부산하단점,2,정상,일반판매,AKK3PT002,C-더치골덴통바지(기모),CH,챠콜,L,판매
120,2024-01-12,직영점,A0006,부산하단점,3,정상,일반판매,AKK3PT015,C-윈디울부츠컷,OT,오트밀,L,판매
121,2024-01-12,직영점,A0006,부산하단점,4,정상,일반판매,BKL3CP002,펄링귀방울모자,BK,블랙,F,판매
122,2024-01-12,직영점,A0006,부산하단점,5,정상,일반판매,AKI3PT003,C-골드버튼배기,CG,차콜그레이,M,판매
123,2024-01-12,직영점,A0006,부산하단점,5,정상,일반판매,AKI3BL005,C-코앤7부BL,NA,네이비,F,판매
124,2024-01-12,직영점,A0006,부산하단점,5,정상,일반판매,AKK7JP022,J-단가라니트후드집업,PK,핑크,F,판매
125,2024-01-12,직영점,A0006,부산하단점,6,정상,일반판매,ZA00CO029,아메리카노(2000),XX,XX,XX,판매
126,2024-01-12,직영점,A0006,부산하단점,7,정상,일반판매,AKL3JP009,C-사각자수후드패딩,BK,블랙,F,반품
127,2024-01-12,직영점,A0006,부산하단점,7,정상,일반판매,AKL7TS004,J-그리핀후드T,BK,블랙,F,반품
128,2024-01-12,직영점,A0006,부산하단점,7,정상,일반판매,AKK7VT002,J-로티덕다운조끼,BK,블랙,F,반품
129,2024-01-12,직영점,A0006,부산하단점,8,정상,일반판매,AKK7VT002,J-로티덕다운조끼,BK,블랙,F,반품
130,2024-01-12,직영점,A0006,부산하단점,8,정상,일반판매,AKL7TS004,J-그리핀후드T,BK,블랙,F,반품
131,2024-01-12,직영점,A0006,부산하단점,9,정상,일반판매,BKI7BG006,미니투웨이백,BE,베이지,F,판매
132,2024-01-12,직영점,A0006,부산하단점,10,정상,일반판매,AKL7JP012,P3-무스탕덕다운패딩,BK,블랙,F,판매
133,2024-01-12,직영점,A0006,부산하단점,11,기획,일반판매,AKL7KT003,P-로제폴라니트,RE,레드,F,판매
134,2024-01-12,직영점,A0006,부산하단점,11,정상,일반판매,AKL3OP003,C-반집업기모OPS,BK,블랙,F,판매
135,2024-01-12,직영점,A0006,부산하단점,12,정상,일반판매,AKC3CT001,C-클래식벨트바바리,BE,베이지,F,판매
136,2024-01-12,직영점,A0006,부산하단점,12,정상,일반판매,AKI3JK002,C-퍼프레더자켓,MU,머스타드,F,판매
137,2024-01-12,직영점,A0006,부산하단점,13,정상,일반판매,AKK3PT018,C-소프트버튼슬랙스,BK,블랙,L,판매
138,2024-01-12,직영점,A0006,부산하단점,13,정상,일반판매,AKK3DP001,C-다비기모통데님,DL,진청,L,판매
139,2024-01-12,직영점,A0006,부산하단점,13,정상,일반판매,AKK7KT014,J-스케치래빗니트,BE,베이지,F,판매
140,2024-01-12,직영점,A0006,부산하단점,14,정상,일반판매,AKK3DP007,C-헤비와이드기모부츠컷데님,DL,진청,L,판매
141,2024-01-13,직영점,A0006,부산하단점,1,기획,일반판매,AKI7KT012,J-컬러반폴니트,DP,진핑크,F,판매
142,2024-01-13,직영점,A0006,부산하단점,1,정상,일반판매,AJI7KT007,러튼진주니트,PK,핑크,F,판매
143,2024-01-13,직영점,A0006,부산하단점,2,정상,일반판매,AKJ7JP006,J-무브덕다운점퍼,PK,핑크,F,판매
