sale_id,sale_date,store_id,product_id,color_id,size_id,quantity,price_type,sale_type,transaction_type,year,month
90,2024-01-08,1,48,1,1,1,정상,일반판매,판매,2023,12
91,2024-01-08,1,23,8,5,1,기획,일반판매,판매,2023,12
92,2024-01-08,1,49,15,1,1,정상,일반판매,판매,2023,12
93,2024-01-08,1,50,16,1,1,정상,일반판매,판매,2023,12
94,2024-01-08,1,51,8,1,1,정상,일반판매,판매,2023,12
95,2024-01-09,1,52,2,1,1,정상,일반판매,판매,2023,11
96,2024-01-09,1,5,3,6,1,정상,일반판매,판매,2022,11
97,2024-01-09,1,53,4,4,1,정상,일반판매,판매,2023,10
98,2024-01-09,1,54,15,1,1,기획,일반판매,판매,2023,9
99,2024-01-10,1,55,17,1,1,정상,일반판매,판매,2023,12
100,2024-01-10,1,56,15,1,1,정상,일반판매,판매,2023,11
101,2024-01-10,1,57,6,1,1,정상,일반판매,판매,2023,10
102,2024-01-10,1,53,4,4,1,정상,일반판매,반품,2023,10
103,2024-01-10,1,54,15,1,1,기획,일반판매,반품,2023,9
104,2024-01-10,1,53,4,5,1,정상,일반판매,판매,2023,10
105,2024-01-10,1,58,18,2,1,정상,일반판매,판매,2017,10
106,2024-01-10,1,59,19,1,1,정상,일반판매,판매,2023,12
107,2024-01-11,1,60,3,1,1,정상,일반판매,판매,2021,12
108,2024-01-11,1,61,8,1,1,기획,일반판매,판매,2023,11
109,2024-01-11,1,20,8,1,1,기획,일반판매,판매,2023,12
110,2024-01-11,1,42,20,1,1,기획,일반판매,판매,2023,11
111,2024-01-11,1,1,1,1,1,정상,일반판매,판매,2023,12
112,2024-01-11,1,62,4,4,1,정상,일반판매,판매,2023,12
113,2024-01-11,1,43,3,4,1,정상,일반판매,판매,2022,12
114,2024-01-11,1,38,5,2,1,정상,일반판매,판매,2023,11
115,2024-01-11,1,51,8,1,1,정상,일반판매,판매,2023,12
116,2024-01-11,1,49,15,1,1,정상,일반판매,판매,2023,12
117,2024-01-11,1,50,16,1,1,정상,일반판매,판매,2023,12
118,2024-01-11,1,63,3,1,1,정상,일반판매,판매,2023,11
119,2024-01-11,1,18,3,1,1,정상,일반판매,판매,2023,11
