의류 ID,속성 유형,속성 값
86,스타일,컨템포러리
86,category,티셔츠
86,texture,우븐
86,print,무지
87,스타일,캐주얼
87,category,팬츠
87,texture,저지
88,스타일,컨템포러리
88,category,티셔츠
88,texture,저지
88,print,그래픽
89,스타일,내추럴
89,category,청바지
89,texture,저지
89,print,무지
90,스타일,캐주얼
90,category,팬츠
90,texture,니트
90,print,무지
91,스타일,페미니
91,category,티셔츠
91,texture,니트
91,print,무지
92,스타일,페미니
92,category,티셔츠
92,texture,저지
93,스타일,캐주얼
93,category,티셔츠
93,texture,저지
93,print,무지
94,스타일,내추럴
94,category,티셔츠
94,texture,우븐
94,print,무지
95,스타일,캐주얼
95,category,티셔츠
95,texture,저지
96,스타일,캐주얼
96,category,티셔츠
96,texture,저지
96,print,무지
97,스타일,페미니
97,category,티셔츠
97,texture,우븐
97,print,무지
98,스타일,캐주얼
98,category,티셔츠
98,texture,저지
98,print,그래픽
99,스타일,캐주얼
99,category,티셔츠
99,detail,단추
99,texture,저지
99,print,무지
100,스타일,캐주얼
100,category,티셔츠
100,texture,저지
101,스타일,캐주얼
101,category,티셔츠
101,texture,저지
102,스타일,페미니
102,category,블라우스
102,detail,플리츠
102,texture,저지
102,print,무지
103,스타일,페미니
103,category,티셔츠
103,texture,저지
103,print,무지
104,스타일,페미니
104,category,팬츠
104,texture,니트
104,print,무지
105,스타일,캐주얼
105,category,티셔츠
105,texture,우븐
106,스타일,캐주얼
106,category,셔츠
106,texture,니트
107,스타일,내추럴
107,category,청바지
107,texture,저지
107,print,무지
108,스타일,컨템포러리
108,category,티셔츠
108,detail,단추
108,texture,저지
109,스타일,내추럴
109,category,티셔츠
109,detail,슬릿
109,texture,저지
109,print,그래픽
110,스타일,캐주얼
110,category,블라우스
110,texture,니트
111,스타일,캐주얼
111,category,청바지
111,detail,슬릿
111,texture,저지
112,스타일,컨템포러리
112,category,티셔츠
112,texture,니트
113,스타일,캐주얼
113,category,티셔츠
113,detail,단추
113,texture,저지
113,print,무지
114,스타일,내추럴
114,category,티셔츠
114,texture,저지
114,print,무지
115,스타일,캐주얼
115,category,티셔츠
115,detail,슬릿
115,texture,니트
115,print,무지
116,스타일,캐주얼
116,category,티셔츠
116,texture,저지
117,스타일,내추럴
117,category,팬츠
117,texture,우븐
118,스타일,컨템포러리
118,category,티셔츠
118,detail,플리츠
118,texture,저지
118,print,무지
119,스타일,내추럴
119,category,청바지
119,texture,니트
120,스타일,컨템포러리
120,category,팬츠
