?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분,대분류,년,월,주차,복종,넘버
38,2024-01-09,직영점,A0020,부산모라점(직),2,기획,일반판매,AKL7KT002,P-윈터폴라니트,GE,그린,F,판매,의류,2023,12월,7,니트,002
39,2024-01-09,직영점,A0020,부산모라점(직),2,정상,일반판매,AHK7KT010,라인KT,RE,레드,F,판매,의류,2020,11월,7,니트,010
40,2024-01-09,직영점,A0020,부산모라점(직),3,정상,일반판매,AKL7KT007,J-삼색단니트,PP,퍼플,F,판매,의류,2023,12월,7,니트,007
41,2024-01-09,직영점,A0020,부산모라점(직),4,정상,일반판매,AJA3KT004,S-은하수,IV,아이보리,F,판매,의류,2022,1월,3,니트,004
42,2024-01-09,직영점,A0020,부산모라점(직),4,기획,일반판매,AKL7KT002,P-윈터폴라니트,GE,그린,F,판매,의류,2023,12월,7,니트,002
43,2024-01-09,직영점,A0020,부산모라점(직),5,정상,일반판매,AIL7SK001,체스체크SK,BE,베이지,F,판매,의류,2021,12월,7,스커트,001
44,2024-01-09,직영점,A0020,부산모라점(직),6,정상,일반판매,AKI7VT006,J-포근단추조끼,BK,블랙,F,판매,의류,2023,9월,7,베스트,006
45,2024-01-09,직영점,A0020,부산모라점(직),6,정상,일반판매,BKL7MF004,와플니트고리,GE,그린,F,판매,잡화,2023,12월,7,머플러,004
46,2024-01-09,직영점,A0020,부산모라점(직),6,정상,일반판매,BKL4SC001,레이스기모덧신(2pcs),XX,XX,F,판매,잡화,2023,12월,4,양말,001
47,2024-01-10,직영점,A0020,부산모라점(직),1,정상,일반판매,AKL7KT019,P3-사선반폴니트,BK,블랙,F,판매,의류,2023,12월,7,니트,019
48,2024-01-10,직영점,A0020,부산모라점(직),2,정상,일반판매,AKK7JP003,J-파스텔단추덕다운,PK,핑크,F,판매,의류,2023,11월,7,점퍼,003
49,2024-01-10,직영점,A0020,부산모라점(직),2,정상,일반판매,BJK4SC006,플라워롱삭스(2pcs),XX,XX,F,판매,잡화,2022,11월,4,양말,006
50,2024-01-10,직영점,A0020,부산모라점(직),3,정상,일반판매,AEK1TS703,라인 롱 티셔츠,GR,회색,F,판매,의류,2017,11월,1,티셔츠,703
51,2024-01-10,직영점,A0020,부산모라점(직),3,정상,일반판매,AII3OP005,S-유니콘롱티,KH,카키,F,판매,의류,2021,9월,3,원피스,005
52,2024-01-10,직영점,A0020,부산모라점(직),4,정상,일반판매,AKL7KT021,P3-미드폴라니트,BR,브라운,F,판매,의류,2023,12월,7,니트,021
53,2024-01-11,직영점,A0020,부산모라점(직),1,정상,일반판매,AKL7DP006,P3-기모일자통데님,DL,진청,M,판매,의류,2023,12월,7,데님,006
54,2024-01-11,직영점,A0020,부산모라점(직),1,정상,일반판매,AKL7KT018,P3-라운드M니트,GR,회색,F,판매,의류,2023,12월,7,니트,018
55,2024-01-11,직영점,A0020,부산모라점(직),1,정상,일반판매,AKL7KT011,J-에어벌룬니트,BE,베이지,F,판매,의류,2023,12월,7,니트,011
56,2024-01-11,직영점,A0020,부산모라점(직),2,정상,일반판매,AKJ3PT003,C-더치골덴통바지,IV,아이보리,L,판매,의류,2023,10월,3,바지,003
57,2024-01-11,직영점,A0020,부산모라점(직),3,정상,일반판매,AKL7KT005,J-젤리반폴니트,BK,블랙,F,판매,의류,2023,12월,7,니트,005
58,2024-01-11,직영점,A0020,부산모라점(직),4,기획,일반판매,AKK7JP016,P-토니덕다운점퍼,KH,카키,F,판매,의류,2023,11월,7,점퍼,016
59,2024-01-11,직영점,A0020,부산모라점(직),5,정상,일반판매,AEJ1OP501,리옹 후드 슬리브리스 코튼원피스,KH,카키,L,판매,의류,2017,10월,1,원피스,501
60,2024-01-11,직영점,A0020,부산모라점(직),6,정상,일반판매,AIK3PT023,Q-조잉기모,BK,블랙,L,판매,의류,2021,11월,3,바지,023
61,2024-01-11,직영점,A0020,부산모라점(직),6,정상,일반판매,AIA3SK001,Q-골덴A스커트,IV,아이보리,F,판매,의류,2021,1월,3,스커트,001
62,2024-01-11,직영점,A0020,부산모라점(직),6,정상,일반판매,KKK7AC006,KP-샤인후드덕다운,BE,베이지,F,판매,이벤트상품,2023,11월,7,스크래치특가,006
63,2024-01-11,직영점,A0020,부산모라점(직),6,정상,일반판매,KIL3AK001,KS-올패딩PT,BK,블랙,M,판매,이벤트상품,2021,12월,3,스크래치특가,001
64,2024-01-11,직영점,A0020,부산모라점(직),7,정상,일반판매,KIL3AK001,KS-올패딩PT,BK,블랙,M,판매,이벤트상품,2021,12월,3,스크래치특가,001
65,2024-01-11,직영점,A0020,부산모라점(직),7,정상,일반판매,KIL3AK001,KS-올패딩PT,BK,블랙,L,판매,이벤트상품,2021,12월,3,스크래치특가,001
66,2024-01-11,직영점,A0020,부산모라점(직),8,기획,일반판매,AKL7PT002,P-버클부츠컷슬랙스,BK,블랙,M,판매,의류,2023,12월,7,바지,002
67,2024-01-11,직영점,A0020,부산모라점(직),9,정상,일반판매,AJI7SK001,로엔니트스커트,BE,베이지,F,판매,의류,2022,9월,7,스커트,001
68,2024-01-12,직영점,A0020,부산모라점(직),1,정상,일반판매,AKL7KT016,J-글리배색반폴니트,BE,베이지,F,판매,의류,2023,12월,7,니트,016
69,2024-01-12,직영점,A0020,부산모라점(직),2,정상,일반판매,AJL3PT001,C-기모코튼부츠컷,BK,블랙,L,판매,의류,2022,12월,3,바지,001
70,2024-01-12,직영점,A0020,부산모라점(직),3,정상,일반판매,AKL7JP013,P4-배색라인덕다운,BE,베이지,F,판매,의류,2023,12월,7,점퍼,013
71,2024-01-12,직영점,A0020,부산모라점(직),4,정상,일반판매,AKL7KT020,P3-크로스폴라니트,BE,베이지,F,판매,의류,2023,12월,7,니트,020
72,2024-01-12,직영점,A0020,부산모라점(직),5,정상,일반판매,AIK3PT002,S-리버PT,BE,베이지,F,판매,의류,2021,11월,3,바지,002
73,2024-01-12,직영점,A0020,부산모라점(직),5,정상,일반판매,AIK3PT015,Q-다솜배기,CG,차콜그레이,L,판매,의류,2021,11월,3,바지,015
74,2024-01-12,직영점,A0020,부산모라점(직),6,정상,일반판매,AKK7VT021,J-폴라집업조끼,GR,회색,F,판매,의류,2023,11월,7,베스트,021
75,2024-01-12,직영점,A0020,부산모라점(직),6,정상,일반판매,AKL7JP017,P3-세모끈덕다운,BR,브라운,F,판매,의류,2023,12월,7,점퍼,017
76,2024-01-12,직영점,A0020,부산모라점(직),7,기획,일반판매,AKK7JP016,P-토니덕다운점퍼,KH,카키,F,반품,의류,2023,11월,7,점퍼,016
77,2024-01-12,직영점,A0020,부산모라점(직),8,정상,일반판매,AKJ7JP009,J-올리드덕다운점퍼,LY,연한노랑,F,판매,의류,2023,10월,7,점퍼,009
78,2024-01-12,직영점,A0020,부산모라점(직),9,정상,일반판매,AKL7JP018,P3-오렌지덕다운패딩,OR,오렌지,F,판매,의류,2023,12월,7,점퍼,018
79,2024-01-12,직영점,A0020,부산모라점(직),9,정상,일반판매,AKL7KT008,J-스트라이프니트,BE,베이지,F,판매,의류,2023,12월,7,니트,008
80,2024-01-12,직영점,A0020,부산모라점(직),9,기획,일반판매,AKL7PT001,P-미우밴딩팬츠,BR,브라운,L,판매,의류,2023,12월,7,바지,001
81,2024-01-12,직영점,A0020,부산모라점(직),9,정상,일반판매,AJA3PT003,S-핀탁이지PT,CG,차콜그레이,L,판매,의류,2022,1월,3,바지,003
82,2024-01-12,직영점,A0020,부산모라점(직),9,정상,일반판매,AKJ7KT001,J-심플라운드니트,IV,아이보리,F,판매,의류,2023,10월,7,니트,001
83,2024-01-12,직영점,A0020,부산모라점(직),10,정상,일반판매,AKK7KT017,J-루이폴라니트,PP,퍼플,F,판매,의류,2023,11월,7,니트,017
84,2024-01-12,직영점,A0020,부산모라점(직),11,정상,일반판매,AKA3KT004,S-드림베어KT,OL,올리브,F,판매,의류,2023,1월,3,니트,004
85,2024-01-12,직영점,A0020,부산모라점(직),12,정상,일반판매,AKL7JP012,P3-무스탕덕다운패딩,BE,베이지,F,판매,의류,2023,12월,7,점퍼,012
86,2024-01-13,직영점,A0020,부산모라점(직),1,정상,일반판매,AKI7JP007,J-도트니트자켓,BK,블랙,F,판매,의류,2023,9월,7,점퍼,007
87,2024-01-13,직영점,A0020,부산모라점(직),2,기획,일반판매,AKL7KT001,P-모드폴라니트,KH,카키,F,판매,의류,2023,12월,7,니트,001
88,2024-01-13,직영점,A0020,부산모라점(직),2,정상,일반판매,AJL7KT009,컬러단반폴KT,RE,레드,F,판매,의류,2022,12월,7,니트,009
89,2024-01-13,직영점,A0020,부산모라점(직),2,정상,일반판매,AKK7VT018,J-우아니트조끼,BK,블랙,F,판매,의류,2023,11월,7,베스트,018
90,2024-01-13,직영점,A0020,부산모라점(직),3,기획,일반판매,AKL7PT002,P-버클부츠컷슬랙스,BK,블랙,L,판매,의류,2023,12월,7,바지,002
91,2024-01-13,직영점,A0020,부산모라점(직),4,정상,일반판매,AKL3KT004,S-분홍꽃KT,GR,회색,F,판매,의류,2023,12월,3,니트,004
