?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분,대분류,년,월,주차,복종,넘버
37,2024-01-11,직영점,A0070,부산만덕점(직),2,정상,일반판매,AKK7KT014,J-스케치래빗니트,,네이비,F,판매,의류,2023,11월,7,니트,14
38,2024-01-11,직영점,A0070,부산만덕점(직),2,정상,일반판매,AIL3TS011,Q-리틀베어,BL,블루,F,판매,의류,2021,12월,3,티셔츠,11
39,2024-01-11,직영점,A0070,부산만덕점(직),3,기획,일반판매,AKK7JP012,P-벨티드덕다운패딩,KH,카키,L,판매,의류,2023,11월,7,점퍼,12
40,2024-01-11,직영점,A0070,부산만덕점(직),4,정상,일반판매,AKI7TS002,J-비즈가방T,OR,오렌지,F,판매,의류,2023,9월,7,티셔츠,2
41,2024-01-11,직영점,A0070,부산만덕점(직),5,정상,20% 할인(직원할인),AKI3PT005,C-사이드라인배기,BK,블랙,L,판매,의류,2023,9월,3,바지,5
42,2024-01-11,직영점,A0070,부산만덕점(직),5,정상,일반판매,AKL7KT017,P3-셀폴라니트,BK,블랙,F,판매,의류,2023,12월,7,니트,17
43,2024-01-11,직영점,A0070,부산만덕점(직),5,정상,일반판매,AKL7KT020,P3-크로스폴라니트,BE,베이지,F,판매,의류,2023,12월,7,니트,20
44,2024-01-11,직영점,A0070,부산만덕점(직),5,정상,20% 할인(직원할인),BKL4SC008,포근니트삭스(2pcs),XX,XX,F,판매,잡화,2023,12월,4,양말,8
45,2024-01-11,직영점,A0070,부산만덕점(직),6,정상,일반판매,AKL3JK003,S-페이크퍼망토JK,PP,퍼플,F,판매,의류,2023,12월,3,자켓,3
46,2024-01-11,직영점,A0070,부산만덕점(직),7,정상,일반판매,AKK3PT006,S-시보리기모배기팬츠,BK,블랙,L,판매,의류,2023,11월,3,바지,6
47,2024-01-11,직영점,A0070,부산만덕점(직),7,정상,일반판매,AKK3PT006,S-시보리기모배기팬츠,BK,블랙,M,판매,의류,2023,11월,3,바지,6
48,2024-01-12,직영점,A0070,부산만덕점(직),1,정상,일반판매,BKL4SC008,포근니트삭스(2pcs),XX,XX,F,판매,잡화,2023,12월,4,양말,8
49,2024-01-12,직영점,A0070,부산만덕점(직),2,정상,일반판매,AEJ1JP501,롬바르드 로맨틱스포티 점퍼,GR,회색,L,판매,의류,2017,10월,1,점퍼,501
50,2024-01-12,직영점,A0070,부산만덕점(직),3,정상,일반판매,BJK4GV002,엄지검지터치장갑,XX,XX,F,판매,잡화,2022,11월,4,장갑,2
51,2024-01-12,직영점,A0070,부산만덕점(직),4,정상,일반판매,AKK7JP011,J-뽀글후드집업,BE,베이지,F,판매,의류,2023,11월,7,점퍼,11
52,2024-01-12,직영점,A0070,부산만덕점(직),5,정상,일반판매,AIK3PT018,Q-기모트임PT,BK,블랙,L,판매,의류,2021,11월,3,바지,18
53,2024-01-12,직영점,A0070,부산만덕점(직),6,정상,일반판매,AKL7KT012,J-페어리니트,BE,베이지,F,판매,의류,2023,12월,7,니트,12
54,2024-01-13,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKK7JP025,J-엔조퍼후드점퍼,LV,연보라,F,판매,의류,2023,11월,7,점퍼,25
55,2024-01-13,직영점,A0070,부산만덕점(직),2,정상,일반판매,AKB7WS002,포근체크셔츠,RE,레드,F,판매,의류,2023,2월,7,남방,2
56,2024-01-13,직영점,A0070,부산만덕점(직),3,정상,일반판매,AKJ7VT005,J-스퀘어덕다운조끼,BK,블랙,F,판매,의류,2023,10월,7,베스트,5
57,2024-01-15,직영점,A0070,부산만덕점(직),1,정상,일반판매,AKL7DP006,P3-기모일자통데님,DL,진청,S,판매,의류,2023,12월,7,데님,6
58,2024-01-15,직영점,A0070,부산만덕점(직),1,정상,일반판매,AEK1BL401,기모 데님 워싱 셔츠,BK,블랙,L,판매,의류,2017,11월,1,블라우스,401
59,2024-01-15,직영점,A0070,부산만덕점(직),2,정상,일반판매,BLA7BG002,체스백팩(24),BK,블랙,F,판매,잡화,2024,1월,7,가방,2
60,2024-01-15,직영점,A0070,부산만덕점(직),3,정상,일반판매,AKJ7JP006,J-무브덕다운점퍼,PK,핑크,F,판매,의류,2023,10월,7,점퍼,6
61,2024-01-16,직영점,A0070,부산만덕점(직),1,정상,일반판매,AJK7KT011,하트소녀니트,IV,아이보리,F,판매,의류,2022,11월,7,니트,11
