?,판매일자,매장구분,매장코드,매장명,영수증번호,기획구분,판매유형,상품코드,상품명,칼라,칼라명,사이즈,판매구분,대분류,년,월,주차,복종,넘버
33,2024-01-03,직영점,A0024,부산두실점(직),5,정상,일반판매,AKB3VT005,C-밀링울베스트,BR,브라운,F,판매,의류,2023,2월,3,베스트,5
34,2024-01-03,직영점,A0024,부산두실점(직),6,정상,일반판매,AKI7KT025,J-라인브이가디건,OR,오렌지,F,판매,의류,2023,9월,7,니트,25
35,2024-01-03,직영점,A0024,부산두실점(직),7,정상,일반판매,AJK3PT012,S-더블유기획PT,IV,아이보리,M,판매,의류,2022,11월,3,바지,12
36,2024-01-03,직영점,A0024,부산두실점(직),7,정상,일반판매,AKJ3TS009,C-앙고라폴라티,OT,오트밀,F,판매,의류,2023,10월,3,티셔츠,9
37,2024-01-03,직영점,A0024,부산두실점(직),7,기획,일반판매,AKK7TS002,P-폴라기모T,BG,청록색,F,판매,의류,2023,11월,7,티셔츠,2
38,2024-01-03,직영점,A0024,부산두실점(직),8,정상,일반판매,ZA00CO010,국산검은콩라떼(음료),XX,XX,XX,판매,커피,2013,사계절,0,커피,10
39,2024-01-03,직영점,A0024,부산두실점(직),9,기획,일반판매,AKK7TS002,P-폴라기모T,MO,모카,F,판매,의류,2023,11월,7,티셔츠,2
40,2024-01-03,직영점,A0024,부산두실점(직),9,기획,일반판매,AKK7TS002,P-폴라기모T,BG,청록색,F,판매,의류,2023,11월,7,티셔츠,2
41,2024-01-03,직영점,A0024,부산두실점(직),10,정상,일반판매,AKL7PT004,J-다이아누비팬츠,BK,블랙,F,판매,의류,2023,12월,7,바지,4
42,2024-01-03,직영점,A0024,부산두실점(직),10,정상,일반판매,BKL7MF001,모닝퍼머플러,BE,베이지,F,판매,잡화,2023,12월,7,머플러,1
43,2024-01-03,직영점,A0024,부산두실점(직),10,정상,일반판매,AKK3PT002,C-더치골덴통바지(기모),IV,아이보리,M,판매,의류,2023,11월,3,바지,2
44,2024-01-03,직영점,A0024,부산두실점(직),11,정상,일반판매,BKL4CP009,울꽈배기귀도리,CG,차콜그레이,F,판매,잡화,2023,12월,4,모자,9
45,2024-01-03,직영점,A0024,부산두실점(직),12,정상,일반판매,AKK7VT030,J-호이다운패딩조끼,BR,브라운,F,판매,의류,2023,11월,7,베스트,30
46,2024-01-03,직영점,A0024,부산두실점(직),12,정상,일반판매,BKL4CP010,사선체크패딩햇,WN,와인,F,판매,잡화,2023,12월,4,모자,10
47,2024-01-03,직영점,A0024,부산두실점(직),13,정상,일반판매,ZA00CO010,국산검은콩라떼(음료),XX,XX,XX,판매,커피,2013,사계절,0,커피,10
48,2024-01-03,직영점,A0024,부산두실점(직),13,정상,일반판매,ZA00CO002,아메리카노(음료),XX,XX,XX,판매,커피,2013,사계절,0,커피,2
