상품코드,상품명,사이즈,판매금액,MappedValue,년도,월
AIF3TS030,S-삼색브이,Free,33000,티셔츠,2021,6월 1일
AFE1TS308,코끼리반팔T,Free,29000,티셔츠,2018,5월 1일
AIG7DP005,새싹패치청,Free,43000,데님,2021,7월 1일
AFJ3KT019,A-차밍반폴,Free,39000,니트,2018,10월 1일
AFJ3KT008,C-리본타이,Free,35100,니트,2018,10월 1일
AFE1BL315,진주소매,Free,39000,블라우스,2018,5월 1일
AFA2TS318,사다레이스,Free,49000,티셔츠,2018,1월 1일
AEI2SK602,토머버리 랩스타일 언밸런스 스커트,L,29000,스커트,2017,9월 1일
AEF1WS002,멀티롱7부,Free,16500,남방,2017,6월 1일
AFA2BL308,18-91,Free,39000,블라우스,2018,1월 1일
AFJ3CT006,F-마리코트,Free,129000,코트,2018,10월 1일
AEK5KT001,지브라,Free,29000,니트,2017,11월 1일
AEL7KN808,깃털하트니트,Free,59000,니트나시,2017,12월 1일
AGC3BL050,M-러블리샤넬,Free,79000,블라우스,2019,3월 1일
AGC3BL012,A-베라BL,Free,79000,블라우스,2019,3월 1일
AEJ1KN501,브루클린 앙고라니트 풀오버,M,49000,니트나시,2017,10월 1일
AIF7CA009,카라라인Y,Free,43000,가디건,2021,6월 1일
AGD3TS007,M-5X4잔줄,Free,13000,티셔츠,2019,4월 1일
AGE3OP011,S-언발프릴나시OPS,Free,19000,원피스,2019,5월 1일
AFJ3TS031,A-엠엔엠T,Free,63000,티셔츠,2018,10월 1일
AFI3CT003,A-반체크남방아우터,Free,98100,코트,2018,9월 1일
AFE4CA705,망사나염로브,Free,29000,가디건,2018,5월 1일
AFK3CT004,C-후드롱#,Free,129000,코트,2018,11월 1일
AFA2TS336,립보트넥,Free,33000,티셔츠,2018,1월 1일
AFA2JP701,셔링항공JP,Free,79000,점퍼,2018,1월 1일
AEE3TS001,포켓V넥T,Free,14500,티셔츠,2017,5월 1일
AFE1TS309,위드원호일T,Free,23000,티셔츠,2018,5월 1일
AFA2BL324,그래비티BL,Free,59000,블라우스,2018,1월 1일
AEJ1CA601,하코네 캔디 가디건코트,L,49000,가디건,2017,10월 1일
AFA2OP301,다이아OPS(긴팔),Free,29000,원피스,2018,1월 1일
AFA2DP305,보이핏713,L,63000,데님,2018,1월 1일
AFH3OP005,A-타임OPS,Free,69000,원피스,2018,8월 1일
AGC3BL015,A-사파리,Free,49000,블라우스,2019,3월 1일
AEI2BG005,볼드스퀘어 클러치,Free,54500,가방,2017,9월 1일
AEI2VT601,몽마르뜨 니트 원피스,L,19000,베스트,2017,9월 1일
AEK5CT001,울캐시미어더블코트,Free,167300,코트,2017,11월 1일
AEH2OP101,아슨 100%텐셀 프리미엄 셔츠드레스,XL,29000,원피스,2017,8월 1일
AGE7BL004,달리,Free,19000,블라우스,2019,5월 1일
AID3TS063,S-밀라노패치T,Free,46000,티셔츠,2021,4월 1일
AEJ5TS003,견장데끼,Free,30100,티셔츠,2017,10월 1일
AIG3TS007,Q-럭키롱사선,Free,23000,티셔츠,2021,7월 1일
AFA2BL705,헨리넥카라BL,Free,49000,블라우스,2018,1월 1일
AEJ5TS004,BL긴팔,Free,23100,티셔츠,2017,10월 1일
AEJ5DP002,오비일자청2,L,63000,데님,2017,10월 1일
AEL5OP003,쭈리양기모OPS,Free,19000,원피스,2017,12월 1일
AFA2PT304,비트,Free,59000,바지,2018,1월 1일
AEI2CT101,쟈스민 프리미엄 니트코트,Free,49000,코트,2017,9월 1일
AFE6BL309,밑단고무줄BL,Free,79000,블라우스,2018,5월 1일
AEJ5JK003,자수시슬리,L,89000,자켓,2017,10월 1일
AFA2PT103,워너비부츠컷,S,79000,바지,2018,1월 1일
AEJ5KT008,포인트배색,Free,19000,니트,2017,10월 1일
AEK1JK101,모던 랩 자켓,M,49000,자켓,2017,11월 1일
AEK2PT701,겟잇 면진 바지,S,41500,바지,2017,11월 1일
AEK1TS501,언발란스 슬림 짚업티셔츠,L,19000,티셔츠,2017,11월 1일
