상품코드,상품명,사이즈,판매금액,MappedValue,년도,월
AFL3TS007,A-빗물P,Free,30100,티셔츠,2018,12월 1일
AFK3TS015,C-팔로우T,Free,21500,티셔츠,2018,11월 1일
AED8BL020,3305 실고무BL,Free,29500,블라우스,2017,4월 1일
AFK7LG001,C-밍크레깅스,Free,19000,레깅스,2018,11월 1일
AFJ7KT011,C-반목기본니트,Free,9900,니트,2018,10월 1일
AFJ3DP009,C-레이첼,L,59000,데님,2018,10월 1일
AFA2TS329,넥보트T,Free,24500,티셔츠,2018,1월 1일
AFK3TS036,C-레오MTM,Free,33000,티셔츠,2018,11월 1일
AFK7SK003,C-랩니트치마,Free,49000,스커트,2018,11월 1일
AFJ3CT003,F-싱글BB,Free,149000,코트,2018,10월 1일
AFK7CT002,F-체크패턴CT,Free,109000,코트,2018,11월 1일
AFK3SK002,F-761,Free,29000,스커트,2018,11월 1일
ADL8SK002,526 프릴SK,Free,11700,스커트,2016,12월 1일
AFK3KT020,C-울긴목T,Free,43000,니트,2018,11월 1일
AED1JP004,프라다후드JP,Free,84500,점퍼,2017,4월 1일
AFJ7BL001,F-니트스웨이드블랑,Free,29000,블라우스,2018,10월 1일
AFZ3JP005,블랙리버시블,Free,693000,점퍼,2018,
AFK3WS002,C-와이어,Free,34500,남방,2018,11월 1일
AEC2JP002,보브사파리,L,74500,점퍼,2017,3월 1일
AGA7KT007,C-핸드프린팅니트,Free,59000,니트,2019,1월 1일
AFK3OP013,C-주머니POPS,Free,59000,원피스,2018,11월 1일
AFL3KT012,C-스노우맨니트,Free,39000,니트,2018,12월 1일
AGA3CA003,C-타코리나염(롱),Free,99000,가디건,2019,1월 1일
AFA2KN801,단추장식VEST,Free,29500,니트나시,2018,1월 1일
AFI7JP002,C-스마일야상JP,Free,63000,점퍼,2018,9월 1일
AFH3OP007,A-플랜OPS,Free,69000,원피스,2018,8월 1일
AGB1VT005,C-뒷리본언발조끼,Free,19000,베스트,2019,2월 1일
AFL7CT003,F-언발반코트,Free,169000,코트,2018,12월 1일
AFL3TS001,D-K기모,Free,39000,티셔츠,2018,12월 1일
AFE5OP328,파핀OPS,Free,29500,원피스,2018,5월 1일
AFL3TS006,A-밍크,Free,49000,티셔츠,2018,12월 1일
AFK7SK005,C-땡땡A스커트,Free,39000,스커트,2018,11월 1일
AFJ7VT003,C-올트임니트조끼,Free,11700,베스트,2018,10월 1일
AFK7TS002,C-댕댕이T,Free,49000,티셔츠,2018,11월 1일
AFI7OP009,C-진주알주름,Free,24500,원피스,2018,9월 1일
AGA3KT010,A-미니포켓,Free,79000,니트,2019,1월 1일
AFK3VT015,A-폴라날개조끼,Free,39000,베스트,2018,11월 1일
AFL3CA002,C-포그니브이,Free,12900,가디건,2018,12월 1일
AGB3TS003,C-주머니하이넥,Free,33000,티셔츠,2019,2월 1일
AFK3SK006,C-미쏘니,Free,69000,스커트,2018,11월 1일
AGA3CT003,C-송치털후드,Free,151200,코트,2019,1월 1일
AFK7ST003,F-언발원피스ST,Free,69000,세트,2018,11월 1일
AFK3VT020,A-023토끼,Free,79000,베스트,2018,11월 1일
AFL1CT005,F-라운드울코트,L,169000,코트,2018,12월 1일
AGA3KT018,C-잎사귀방울니트,Free,59000,니트,2019,1월 1일
AFK3CA015,C-8811,Free,41300,가디건,2018,11월 1일
AFL3LG005,D-융핀탁통바지,Free,29000,레깅스,2018,12월 1일
AFE4DP703,디젤부츠컷,L,29500,데님,2018,5월 1일
AGB3CA001,C-스트라이프CA,Free,39000,가디건,2019,2월 1일
AFK3JP042,C-18067,Free,62100,점퍼,2018,11월 1일
AGE3PT005,M-피카소,Free,29000,바지,2019,5월 1일
AFL3TS042,D-모어스판T,Free,23000,티셔츠,2018,12월 1일
AFL3PT006,C-밴딩통PT,Free,33000,바지,2018,12월 1일
AFJ3TS040,C-알렉태슬MTM,Free,39000,티셔츠,2018,10월 1일
AFK3JP046,C-후리스JP,Free,14500,점퍼,2018,11월 1일
AGA3CA002,C-타코리나염(숏),Free,59000,가디건,2019,1월 1일
AFK3KT016,C-8381반폴라보송,Free,33000,니트,2018,11월 1일
AFE6JP305,소매지퍼,Free,83300,점퍼,2018,5월 1일
AFL7KT002,C-버튼폴라,Free,39000,니트,2018,12월 1일
AFK3CA013,D-데일리가디건,Free,43000,가디건,2018,11월 1일
AFL3TS035,C-구호엠보T,Free,63000,티셔츠,2018,12월 1일
AFL3JP016,C-알래스카헤비다운,Free,151200,점퍼,2018,12월 1일
AGA7KT010,C-밤비니트,Free,39000,니트,2019,1월 1일
AFK3TS035,A-브론즈,Free,59000,티셔츠,2018,11월 1일
AFK7PT009,C-래빗반바지,L,33000,바지,2018,11월 1일
AFL3TS023,A-에리체인T,Free,49000,티셔츠,2018,12월 1일
AFK3TS014,A-A라인반목,Free,29000,티셔츠,2018,11월 1일
AFL3KT009,A-스팽글니트,Free,59000,니트,2018,12월 1일
AGA1CT003,C-보그체크,Free,159000,코트,2019,1월 1일
AFZ3JP002,라쿤배색야상,Free,490000,점퍼,2018,
AFK7VT002,C-씨어드VT,Free,59000,베스트,2018,11월 1일
AFL3TS015,C-니트폴라티H,Free,19000,티셔츠,2018,12월 1일
AEL5KT004,밍크옷핀롱니트,Free,39000,니트,2017,12월 1일
AFQ3VT004,폭스배색차이나,S,399000,베스트,2018,
AFI3PT011,C-906면일자,M,39000,바지,2018,9월 1일
AFK3TS046,A-뽀글이,Free,30100,티셔츠,2018,11월 1일
AFK7PT007,C-벨트반바지,L,39000,바지,2018,11월 1일
AFL3KT011,A-주머니니트,Free,53000,니트,2018,12월 1일
AFK3JP019,A-양포켓OP,Free,59000,점퍼,2018,11월 1일
AFL7OP001,C-폴라롱골지OPS,Free,41300,원피스,2018,12월 1일
AFK3JP015,C-지퍼패딩,Free,202300,점퍼,2018,11월 1일
AFJ7CA013,C-패치포인트가디건,Free,39000,가디건,2018,10월 1일
AGA3CA004,C-맥퀸에스닉,Free,59000,가디건,2019,1월 1일
AGB3WS003,C-체크배색,Free,23000,남방,2019,2월 1일
AFL3JP009,A-무카롱,Free,139000,점퍼,2018,12월 1일
AFK3JP032,A-포켓패딩,Free,189000,점퍼,2018,11월 1일
AFJ3BL010,A-오로라,Free,44500,블라우스,2018,10월 1일
AFK7CT011,C-키핑체크,Free,199000,코트,2018,11월 1일
AGA3JK001,C-뽀글청자켓(롱),Free,39500,자켓,2019,1월 1일
AFK7CT012,C-키핑후드체크,Free,199000,코트,2018,11월 1일
AFK3OP022,A-샤넬두끈원피스,Free,69000,원피스,2018,11월 1일
AFE5OP314,396린넨스퀘어OPS,Free,43000,원피스,2018,5월 1일
AFJ3DP004,C-구제워싱진,L,24500,데님,2018,10월 1일
AFL3JP008,A-G모자롱,Free,139000,점퍼,2018,12월 1일
AFH7WS004,C-어깨찡남방,Free,24500,남방,2018,8월 1일
AFJ3KT014,C-333브이니트,Free,8700,니트,2018,10월 1일
AFK3TS010,C-시보리R,Free,79000,티셔츠,2018,11월 1일
AFL3CT015,F-울버린코트,Free,111440,코트,2018,12월 1일
AFK7ST002,C-진주니트ST,Free,44500,세트,2018,11월 1일
AFL7CT006,F-빗살코트,Free,90300,코트,2018,12월 1일
AFK3KT015,C-8375튤립보송,Free,33000,니트,2018,11월 1일
AFK7JP002,C-퍼진주집업,Free,59000,점퍼,2018,11월 1일
AGA1CT001,F-초코핸메CT,Free,249000,코트,2019,1월 1일
AGA3KT013,C-반폴언발,Free,42400,니트,2019,1월 1일
ADL2DP005,718기모블랙진(일자),L,17700,데님,2016,12월 1일
AGB1CA003,C-양두가디건,Free,19000,가디건,2019,2월 1일
AFL3TS005,A-리본T,Free,43000,티셔츠,2018,12월 1일
AGA3CT002,C-털무스탕,Free,84500,코트,2019,1월 1일
AFL3TS018,C-워머폴라,Free,41300,티셔츠,2018,12월 1일
AFL3TS025,C-기모폴라,Free,27440,티셔츠,2018,12월 1일
AFK7PT008,C-밴딩끈바지,Free,29000,바지,2018,11월 1일
AFL3VT004,C-앙고라조끼,Free,89000,베스트,2018,12월 1일
AFK3TN003,D-리본런닝N,Free,29000,티셔츠나시,2018,11월 1일
AFL7KT005,C-보들니트,Free,53000,니트,2018,12월 1일
AFL3TS022,C-카렌더,Free,49000,티셔츠,2018,12월 1일
AFL3TS010,A-뽁닥이니트T,Free,29000,티셔츠,2018,12월 1일
AFK3TS005,A-메탈라운드,Free,53000,티셔츠,2018,11월 1일
AFE2VT304,스트롱VT,Free,109000,베스트,2018,5월 1일
AIF3WS008,S-마젤남방,Free,56700,남방,2021,6월 1일
AGC5CA001,C-컬러가디건,Free,19000,가디건,2019,3월 1일
AFI7CA002,C-니트벨트가디건,Free,26500,가디건,2018,9월 1일
AFK3KT017,A-목거리가오리,Free,39000,니트,2018,11월 1일
AFK3DP009,C-104,L,59000,데님,2018,11월 1일
AFJ3ST003,C-테이프바지SET,Free,89000,세트,2018,10월 1일
AFL1OP002,A-이중지나염OPS,Free,49000,원피스,2018,12월 1일
ADL1TS012,모리슨,Free,10800,티셔츠,2016,12월 1일
AFL3LG002,D-포근절개레깅스,Free,29000,레깅스,2018,12월 1일
AFA2JK804,데님루즈JK,Free,54500,자켓,2018,1월 1일
AFJ7CA006,C-베이직가디건,Free,39000,가디건,2018,10월 1일
AFK7OP005,C-후드버튼OPS,Free,69000,원피스,2018,11월 1일
AFJ7TS004,A-레오볼륨롱티,Free,29000,티셔츠,2018,10월 1일
AFJ3BL007,F-언발롱BL,Free,41300,블라우스,2018,10월 1일
AGC3WS002,C-스마일캣츠,Free,33000,남방,2019,3월 1일
AFK3TN002,D-앵두롱N,Free,43000,티셔츠나시,2018,11월 1일
AGC3BL042,C-왕꽃,Free,56700,블라우스,2019,3월 1일
AFL7JP003,C-터널끈패딩,Free,93870,점퍼,2018,12월 1일
AGC3TS047,C-단가라프릴,Free,56700,티셔츠,2019,3월 1일
AGB3KT002,C-잔골지V,Free,49000,니트,2019,2월 1일
AGB7TS019,A-포켓T,Free,38700,티셔츠,2019,2월 1일
AFL3VT002,C-피카소조끼,Free,59000,베스트,2018,12월 1일
AGB3KT001,C-알루RT,Free,29000,니트,2019,2월 1일
AFK7CA005,C-버튼숏가디건,Free,49000,가디건,2018,11월 1일
AFH7TS001,C-레터링반팔T,Free,19500,티셔츠,2018,8월 1일
AGB1JP001,C-뉴시보리JP,Free,149000,점퍼,2019,2월 1일
AGB7TS003,C-만다린T,Free,29000,티셔츠,2019,2월 1일
AFI3BL012,F-리본프릴나염BL,Free,44500,블라우스,2018,9월 1일
AGB7BL006,A-시보리페이즐BL,Free,26100,블라우스,2019,2월 1일
AFL3JP003,A-사각후드털,Free,269000,점퍼,2018,12월 1일
AGC3JK016,F-헤라자켓,Free,89000,자켓,2019,3월 1일
AGB3PT005,F-단추부츠컷,Free,47700,바지,2019,2월 1일
AGB1KT001,C-삼색단가라라운드,Free,20700,니트,2019,2월 1일
AGC3JP012,C-베리베리후드,Free,129000,점퍼,2019,3월 1일
AGD3TS003,C-마가리타,Free,33000,티셔츠,2019,4월 1일
AFL1CT007,A-포그CT,Free,179000,코트,2018,12월 1일
AFL3VT008,C-밍크방울J,Free,44100,베스트,2018,12월 1일
AFL3KT008,A-지브라스팽글,Free,69000,니트,2018,12월 1일
AGA7SK001,C-사각언발SK,Free,39000,스커트,2019,1월 1일
AGA3JP002,C-컬러풀패딩,Free,53100,점퍼,2019,1월 1일
AFE6OP309,917,Free,46000,원피스,2018,5월 1일
AGB3PT004,C-재규어배기,Free,47700,바지,2019,2월 1일
AFL3KT013,C-스티치니트,Free,41300,니트,2018,12월 1일
AGB1VT006,C-로메오조끼,Free,44100,베스트,2019,2월 1일
AGB1KT002,C-한줄단가라라운드,Free,26100,니트,2019,2월 1일
AGC3JK006,C-데님후디,Free,29700,자켓,2019,3월 1일
AFK7VT008,C-끈포인트조끼,Free,13050,베스트,2018,11월 1일
AGB1PT001,C-포켓배기,Free,69000,바지,2019,2월 1일
AFI7KT010,C-박시가오리니트,Free,49000,니트,2018,9월 1일
AFK7KT009,C-소매라인KT,Free,16500,니트,2018,11월 1일
AGB1CA002,C-펌퀸CD,Free,53100,가디건,2019,2월 1일
AFH3TS011,D-슬라브싱글T,Free,9900,티셔츠,2018,8월 1일
AGB3TS029,D-슬롱T,Free,20700,티셔츠,2019,2월 1일
AFJ3OP019,A-아일렛OPS,Free,97300,원피스,2018,10월 1일
AGB1CA004,C-스웰라가디건,Free,19000,가디건,2019,2월 1일
AFL3LG003,D-알리반바지,Free,24570,레깅스,2018,12월 1일
AEA1VT013,피셔J,Free,26500,베스트,2017,1월 1일
AGB7TS007,C-프린지T,Free,19000,티셔츠,2019,2월 1일
AGB7KT017,C-시스루배색니트,Free,35100,니트,2019,2월 1일
AGB3JK002,A-구호레자JK,Free,98100,자켓,2019,2월 1일
AGB7TS004,C-호날드T,Free,17100,티셔츠,2019,2월 1일
AGC3CT006,C-뮤즐BB,Free,119000,코트,2019,3월 1일
AGC3OP016,C-하루원피스,Free,62100,원피스,2019,3월 1일
AFJ7CA012,C-꽃가디건,Free,39500,가디건,2018,10월 1일
AFK3PT031,F-헤링본,Free,69000,바지,2018,11월 1일
AGB7WS001,A-A벌룬셔츠,Free,49000,남방,2019,2월 1일
AGB3TS030,C-고인찌R,Free,43000,티셔츠,2019,2월 1일
AFK3PT029,F-구구통,Free,69000,바지,2018,11월 1일
AGA3CT001,F-시스템CT,Free,132300,코트,2019,1월 1일
AFK7KT011,C-폴라기본니트,Free,33000,니트,2018,11월 1일
AFK3JP020,C-배색후드JP,Free,29500,점퍼,2018,11월 1일
AFJ7JK005,C-헐리웃가죽자켓,L,159000,자켓,2018,10월 1일
AFK3CA009,F-고방가디건,Free,89000,가디건,2018,11월 1일
AGB1JP002,A-파스텔점퍼,Free,149000,점퍼,2019,2월 1일
AFK3OP004,C-버튼원피스,Free,58100,원피스,2018,11월 1일
AGC3CT021,M-날개리본바바리,Free,149000,코트,2019,3월 1일
AFK3TS055,C-슬라브트임,Free,23000,티셔츠,2018,11월 1일
AGB7TS020,A-캣츠T,Free,43000,티셔츠,2019,2월 1일
AFK3TS045,A-프리스카프,Free,53000,티셔츠,2018,11월 1일
AGD3TS004,M-물고기T,Free,26100,티셔츠,2019,4월 1일
AFL3JP002,A-구호후드털,Free,160300,점퍼,2018,12월 1일
AGB3KT003,C-U브이,Free,49000,니트,2019,2월 1일
AGC3BL021,C-햅번도트,Free,39000,블라우스,2019,3월 1일
AGB7ST001,C-더블금단추SET,Free,89000,세트,2019,2월 1일
AGC3JK017,C-자수JK,Free,53000,자켓,2019,3월 1일
AFL7TS001,C-투하트맨투맨,Free,26100,티셔츠,2018,12월 1일
AFJ3JK006,C-3508청롱JK,Free,49000,자켓,2018,10월 1일
AGB1VT008,C-꽈베기프릴뷔스티에,Free,19000,베스트,2019,2월 1일
AFK7PT003,A-토끼PT,Free,33000,바지,2018,11월 1일
AFL3KT010,A-보석나비,Free,53000,니트,2018,12월 1일
AGB1JP003,C-글램볼륨점퍼,Free,129000,점퍼,2019,2월 1일
AFL3VT005,F-쥬크토끼털조끼,Free,139000,베스트,2018,12월 1일
AGA3KT020,C-배색P,Free,53000,니트,2019,1월 1일
AGA3KT011,C-미호니트,Free,53100,니트,2019,1월 1일
AFH7OP009,A-절개배색OP,Free,29500,원피스,2018,8월 1일
AGC3WS004,C-겜블링큐빅,Free,39000,남방,2019,3월 1일
AFL3JP014,C-무스패딩점퍼,Free,62370,점퍼,2018,12월 1일
AGA3CT005,C-누빔박스,Free,125300,코트,2019,1월 1일
AFK1JK002,F-바게트자켓,Free,125370,자켓,2018,11월 1일
AGB7BL002,F-러블리페이즐BL,Free,39000,블라우스,2019,2월 1일
AFL3OP002,A-폴라원피스,Free,53000,원피스,2018,12월 1일
AGC3CT004,A-엔클라인CT,Free,179000,코트,2019,3월 1일
AGC3KT010,C-스키틀즈,Free,29000,니트,2019,3월 1일
AGA3JP003,C-바닐라웰론,Free,83300,점퍼,2019,1월 1일
AFJ3DP010,C-벤자민,Free,29500,데님,2018,10월 1일
AFK3KT021,C-골지롱손가락T,Free,21500,니트,2018,11월 1일
AGC3CA004,C-마말레이드,Free,19000,가디건,2019,3월 1일
AGA3JP007,C-마르니누빔,Free,49000,점퍼,2019,1월 1일
AGB7WS005,C-컬러롱남방,Free,39000,남방,2019,2월 1일
AGB3KT004,C-무지입술긴팔,Free,23000,니트,2019,2월 1일
AGB7JP004,A-셔링하트야상,Free,129000,점퍼,2019,2월 1일
AFJ7JP004,C-링지퍼점퍼,Free,49000,점퍼,2018,10월 1일
AFI7OP002,C-페인팅도트OP,Free,24500,원피스,2018,9월 1일
AGA3JP001,C-청패딩,Free,69500,점퍼,2019,1월 1일
AEA8KT008,1626 레이어드니트,Free,29500,니트,2017,1월 1일
AGB3VT001,C-스냅조끼,Free,29700,베스트,2019,2월 1일
AEG8WS003,ST기본NB,Free,14500,남방,2017,7월 1일
AFE6JP304,비치후드,Free,13300,점퍼,2018,5월 1일
AFA2CA805,골지Y,Free,19500,가디건,2018,1월 1일
AGB3JK001,C-9ho숏자켓,Free,89000,자켓,2019,2월 1일
AGB1JP005,C-카스야상,L,134100,점퍼,2019,2월 1일
AFK1CT001,F-차이나핸드,Free,439000,코트,2018,11월 1일
AGC3TS031,A-에르말,Free,49000,티셔츠,2019,3월 1일
AFL3TS031,A-지퍼골지,Free,35100,티셔츠,2018,12월 1일
AFL3TS045,A-얼룩강아지T,Free,9030,티셔츠,2018,12월 1일
AGC3TS032,A-콤비,Free,33000,티셔츠,2019,3월 1일
AGB7OP004,A-스모크나염OPS,Free,49000,원피스,2019,2월 1일
AFL3TS004,A-마르니,Free,43000,티셔츠,2018,12월 1일
AFL3CT016,F-하슬러코트,Free,99000,코트,2018,12월 1일
AFK3VT026,C-또또덕다운숏조끼,Free,30100,베스트,2018,11월 1일
AFK3JP035,C-패딩점퍼,Free,59500,점퍼,2018,11월 1일
AGB3PT002,F-언발,Free,59000,바지,2019,2월 1일
AEK5CA008,골지조끼Y,Free,26700,가디건,2017,11월 1일
AGB1VT002,F-핫컬러VT,L,179000,베스트,2019,2월 1일
AFK7VT001,F-모던와이드VT,Free,26550,베스트,2018,11월 1일
AGC3ST002,F-앙상블Y,Free,39000,세트,2019,3월 1일
AGB7TS002,C-커플반팔T,Free,29000,티셔츠,2019,2월 1일
AGB7OP003,A-타탄리본OPS,Free,44100,원피스,2019,2월 1일
AGB1VT004,C-칼리조끼,Free,26100,베스트,2019,2월 1일
AGB7JK002,C-사선지퍼레더,L,79000,자켓,2019,2월 1일
AFK3VT016,C-털조끼L,Free,139300,베스트,2018,11월 1일
AGA7VT005,C-브라우니배색VT,Free,35100,베스트,2019,1월 1일
AFL3TS041,A-하트T,Free,39000,티셔츠,2018,12월 1일
AGC3PT003,C-피그핀탁,Free,38700,바지,2019,3월 1일
AGB7TS010,A-데님카라T,Free,19000,티셔츠,2019,2월 1일
AFK7KT003,C-스마일스팽글니트,Free,24500,니트,2018,11월 1일
AGA7JP001,C-그라데이션집업,Free,109000,점퍼,2019,1월 1일
AFL3TS036,C-지컷자수T,Free,48300,티셔츠,2018,12월 1일
AFA2TS710,오픈스트라이프T,Free,14500,티셔츠,2018,1월 1일
AGC3PT006,C-단추통,L,59000,바지,2019,3월 1일
AFL1CT004,F-더블울코트,Free,149000,코트,2018,12월 1일
AGC3DP010,M-리치부츠컷,L,59000,데님,2019,3월 1일
AFL7JP001,C-후드롱패딩,Free,93870,점퍼,2018,12월 1일
AGA3JP004,C-숏무스탕(양면),Free,199000,점퍼,2019,1월 1일
AFJ7TS006,C-밤비스웨이드티,Free,29000,티셔츠,2018,10월 1일
AFL3KT015,D-마쥬P,Free,79000,니트,2018,12월 1일
AGB7BL003,F-엔틱스트라이프BL,Free,35100,블라우스,2019,2월 1일
AGC3OP043,C-인타주머니OPS,Free,33000,원피스,2019,3월 1일
AGD7TS003,낙서장T,Free,13000,티셔츠,2019,4월 1일
AGC3KT011,C-알티브이,Free,29000,니트,2019,3월 1일
AFL3TS013,C-무지터틀M,Free,11970,티셔츠,2018,12월 1일
AFI3PT009,A-맥시롱팬츠,Free,93000,바지,2018,9월 1일
AFE2JK705,집업남방아우터,Free,19000,자켓,2018,5월 1일
AFL7KT004,C-언발골지폴라,Free,20300,니트,2018,12월 1일
AGA3TS016,F-단추T,Free,37170,티셔츠,2019,1월 1일
AGB1PT002,F-이자벨부츠컷,M,69000,바지,2019,2월 1일
AGB1CA001,C-세줄롱가디건,Free,20700,가디건,2019,2월 1일
AGB7BL001,F-타임BL,Free,35100,블라우스,2019,2월 1일
AGB7TS015,D-모달VT,Free,23000,티셔츠,2019,2월 1일
AFK7CT006,F-더블헤링본CT,Free,59500,코트,2018,11월 1일
AFK3CA012,C-에스크미가디건,Free,73000,가디건,2018,11월 1일
AFH7BL010,C-밑리본BL,Free,19500,블라우스,2018,8월 1일
AGA3CT004,C-송치롱후드코트,Free,143200,코트,2019,1월 1일
AFQ3VT006,밍크시어링,Free,890000,베스트,2018,
AGB3JP004,A-누비타임후드,Free,134100,점퍼,2019,2월 1일
AFL3OP003,A-두두배색원피스,Free,16500,원피스,2018,12월 1일
AGC1TS001,C-바비TS,Free,33000,티셔츠,2019,3월 1일
AGC3KT002,C-단가라R,Free,39000,니트,2019,3월 1일
AGA3KT006,C-5016나팔,Free,29000,니트,2019,1월 1일
AGA3OP002,C-꽈배기반폴OPS,Free,44500,원피스,2019,1월 1일
AGC3TS033,C-라넌큘러스,Free,53000,티셔츠,2019,3월 1일
AGB7BL005,F-언발단추BL,Free,39000,블라우스,2019,2월 1일
AGA3TS015,C-단가라반폴라,Free,13900,티셔츠,2019,1월 1일
AGC3DP007,C-935,XL,43000,데님,2019,3월 1일
AFI3OP004,A-이로OPS,Free,109000,원피스,2018,9월 1일
AFA2TS306,맥스T,Free,29500,티셔츠,2018,1월 1일
AGB7BL010,A-니트망사셔츠,Free,53100,블라우스,2019,2월 1일
AFL3TS030,A-버클누빔,Free,27300,티셔츠,2018,12월 1일
AGB3WS004,C-1953체크,Free,17100,남방,2019,2월 1일
AGC3TS052,M-보브S/T,Free,59000,티셔츠,2019,3월 1일
AGB3TS004,C-A.MTM,Free,59000,티셔츠,2019,2월 1일
AGA7OP006,C-피아노니트OPS,Free,49000,원피스,2019,1월 1일
AGB7ST003,A-보테미안SET,Free,80100,세트,2019,2월 1일
AFK7KT017,C-옆지퍼배색니트,Free,26550,니트,2018,11월 1일
AGB3DP001,C-1029스키니,L,69000,데님,2019,2월 1일
AGC3BL014,F-식스센스,Free,47700,블라우스,2019,3월 1일
AFK7ST005,C-스트라이프셔츠ST,Free,29500,세트,2018,11월 1일
AGC3TS005,C-선인장T,Free,43000,티셔츠,2019,3월 1일
AGC3JK003,F-블랙핑크,Free,159000,자켓,2019,3월 1일
AGC3BL005,A-트위드,Free,29000,블라우스,2019,3월 1일
AGC3BL019,C-마인밴드,Free,59000,블라우스,2019,3월 1일
AGB7BL008,C-S/T터널BLT,Free,53100,블라우스,2019,2월 1일
AGB3SK002,C-샤프라다,Free,62100,스커트,2019,2월 1일
AGB7KT013,C-돌먼미니니트,Free,39000,니트,2019,2월 1일
AFL3TS034,C-니트레이어드T,Free,23100,티셔츠,2018,12월 1일
AGB3TS012,C-CK달달이,Free,29700,티셔츠,2019,2월 1일
AGC3TN008,C-안나수이나시,Free,29000,티셔츠나시,2019,3월 1일
AGC1CT001,A-리본바바리,Free,199000,코트,2019,3월 1일
AGC3DP005,C-849,L,39000,데님,2019,3월 1일
AGB3SK001,C-장미쟈가드,Free,80100,스커트,2019,2월 1일
AGC3JP006,A-헌팅야상,Free,39000,점퍼,2019,3월 1일
AGC3OP011,C-화양연화,Free,49000,원피스,2019,3월 1일
AGC3KT008,C-나그랑V,Free,43000,니트,2019,3월 1일
AGD3BL001,C-물랑루즈,Free,59000,블라우스,2019,4월 1일
AGC3BL007,A-체인스모커스,Free,59000,블라우스,2019,3월 1일
AGC3JP005,C-안개꽃,Free,69000,점퍼,2019,3월 1일
AGA7KT015,A-파라니트,Free,79000,니트,2019,1월 1일
AFL7PT001,C-첵스배기PT,Free,24570,바지,2018,12월 1일
AGC3CA002,C-레베카CD,Free,49000,가디건,2019,3월 1일
AFK1PT002,F-브루넬부츠컷(기모),M,79000,바지,2018,11월 1일
AFJ3VT007,F-샤넬수술조끼,Free,129000,베스트,2018,10월 1일
AED8JK004,8018 린넨롱자켓,Free,29500,자켓,2017,4월 1일
AGB3TS018,C-왕골폴라,Free,33000,티셔츠,2019,2월 1일
AGB7TS021,C-후드배색T,Free,43000,티셔츠,2019,2월 1일
AFK3DP006,C-913기모부츠컷,L,69000,데님,2018,11월 1일
AFL7JP005,C-포켓집니트,Free,90300,점퍼,2018,12월 1일
AGC3TS004,A-마인,Free,59000,티셔츠,2019,3월 1일
AGB7TS016,D-랍바골지T,Free,29000,티셔츠,2019,2월 1일
AGC3CA003,C-베이스티치,Free,59000,가디건,2019,3월 1일
AGC3OP005,A-러플로럴OP,Free,43000,원피스,2019,3월 1일
AFE6CA301,193,Free,39000,가디건,2018,5월 1일
AGC3OP012,C-카르페디엠,Free,23000,원피스,2019,3월 1일
AFE2JK308,바네샤JK,Free,54500,자켓,2018,5월 1일
AGD3TS002,C-꼬마선인장,Free,9900,티셔츠,2019,4월 1일
AGB3TS019,C-마인C절개T,Free,47700,티셔츠,2019,2월 1일
AEK5JK003,울자켓,Free,59000,자켓,2017,11월 1일
AEC8JK004,2409 라이더JK,Free,59500,자켓,2017,3월 1일
AGE7BL025,와샤프린팅,Free,39000,블라우스,2019,5월 1일
AFK3KT003,A-레이스R,Free,59000,니트,2018,11월 1일
AEI2OP602,볼로냐 레이어드 아우터 원피스,S,30000,원피스,2017,9월 1일
AFJ7JP002,C-진주포인트야상,Free,31500,점퍼,2018,10월 1일
AFK3JP049,C-8620,Free,69000,점퍼,2018,11월 1일
AFK3JK001,F-크라운JK,Free,94500,자켓,2018,11월 1일
AFL7CT007,F-버튼오버코트,Free,90300,코트,2018,12월 1일
AGD3OP006,C-롱어깨레이스,Free,33000,원피스,2019,4월 1일
AFE5ST701,스트라이프PT세트,Free,49000,세트,2018,5월 1일
AGB3CT002,F-시크코트,Free,59000,코트,2019,2월 1일
AGB7KT018,D-2줄펄니트,Free,44100,니트,2019,2월 1일
AFK3TS039,C-꽈배기T,Free,26500,티셔츠,2018,11월 1일
AGC3TS011,C-망고반팔,Free,33000,티셔츠,2019,3월 1일
AEA7KT030,1464 배색가오리(SP),Free,44500,니트,2017,1월 1일
AFJ3SK009,C-3도단가라,Free,63000,스커트,2018,10월 1일
AFE2SK309,롱레이스SK,Free,39000,스커트,2018,5월 1일
AFH3BN007,A-야자수나시,Free,33000,블라우스나시,2018,8월 1일
AFK3PT017,C-칼라밴드PT,L,69000,바지,2018,11월 1일
AFI7KT007,C-라운드롱니트,Free,24500,니트,2018,9월 1일
ADL1TS003,모달,Free,5700,티셔츠,2016,12월 1일
AEK5JP004,이중카라,Free,119000,점퍼,2017,11월 1일
AFH3KT002,C-단)돌돌이T,Free,69000,니트,2018,8월 1일
AFL3TS040,A-호피T,Free,39000,티셔츠,2018,12월 1일
AFI7OP014,A-이지기본원피스,Free,49000,원피스,2018,9월 1일
AGC3TS036,C-끈배색,Free,35100,티셔츠,2019,3월 1일
AFJ7LG003,C-파이핑레깅스,Free,19000,레깅스,2018,10월 1일
AEK5CT006,라인BBU,Free,119000,코트,2017,11월 1일
AFI3PT010,C-5259컴팩,M,49000,바지,2018,9월 1일
AFJ7OP001,C-라운드니트원피스,Free,69000,원피스,2018,10월 1일
AFH3PT027,F-주카8부SL,Free,79000,바지,2018,8월 1일
